,region,market,funnel,account_type,ds,X,Month,Year,Italy_Desktop_-_Apr_2024,Italy_Desktop_-_Aug_2024,Italy_Desktop_-_Dec_2024,Italy_Desktop_-_Jul_2024,Italy_Desktop_-_Jun_2024,Italy_Desktop_-_May_2024,Italy_Desktop_-_Nov_2024,Italy_Desktop_-_Oct_2024,Italy_Desktop_-_Sep_2024,Italy_Mobile_&_Tablet_-_Apr_2024,Italy_Mobile_&_Tablet_-_Aug_2024,Italy_Mobile_&_Tablet_-_Dec_2024,Italy_Mobile_&_Tablet_-_Jul_2024,Italy_Mobile_&_Tablet_-_Jun_2024,Italy_Mobile_&_Tablet_-_May_2024,Italy_Mobile_&_Tablet_-_Nov_2024,Italy_Mobile_&_Tablet_-_Oct_2024,Italy_Mobile_&_Tablet_-_Sep_2024,Weekend,AOV,ROAS
92,Europe,Italy,-,Desktop,2024-07-26,1201.37,Jul,2024,0.0,0.0,0.0,1201.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,38.5,1.9
93,Europe,Italy,-,Desktop,2024-07-27,462.49999999999994,Jul,2024,0.0,0.0,0.0,462.49999999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,38.5,1.9
94,Europe,Italy,-,Desktop,2024-07-28,359.7699999999999,Jul,2024,0.0,0.0,0.0,359.7699999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,38.5,1.9
95,Europe,Italy,-,Desktop,2024-07-29,1963.9400000000003,Jul,2024,0.0,0.0,0.0,1963.9400000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,38.5,1.9
96,Europe,Italy,-,Desktop,2024-07-30,1634.0900000000001,Jul,2024,0.0,0.0,0.0,1634.0900000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,38.5,1.9
97,Europe,Italy,-,Desktop,2024-07-31,1711.71,Jul,2024,0.0,0.0,0.0,1711.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,38.5,1.9
98,Europe,Italy,-,Desktop,2024-08-01,1629.4899999999998,Aug,2024,0.0,1629.4899999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,38.5,1.9
99,Europe,Italy,-,Desktop,2024-08-02,1458.3999999999999,Aug,2024,0.0,1458.3999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,38.5,1.9
100,Europe,Italy,-,Desktop,2024-08-03,559.9200000000001,Aug,2024,0.0,559.9200000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,38.5,1.9
101,Europe,Italy,-,Desktop,2024-08-04,474.15999999999997,Aug,2024,0.0,474.15999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,38.5,1.9
102,Europe,Italy,-,Desktop,2024-08-05,1892.32,Aug,2024,0.0,1892.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,38.5,1.9
103,Europe,Italy,-,Desktop,2024-08-06,1973.09,Aug,2024,0.0,1973.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,38.5,1.9
