,region,market,funnel,account_type,ds,X,Month,Year,US_Desktop_-_Apr_2024,US_Desktop_-_Aug_2024,US_Desktop_-_Dec_2024,US_Desktop_-_Jul_2024,US_Desktop_-_Jun_2024,US_Desktop_-_May_2024,US_Desktop_-_Nov_2024,US_Desktop_-_Oct_2024,US_Desktop_-_Sep_2024,US_Mobile_&_Tablet_-_Apr_2024,US_Mobile_&_Tablet_-_Aug_2024,US_Mobile_&_Tablet_-_Dec_2024,US_Mobile_&_Tablet_-_Jul_2024,US_Mobile_&_Tablet_-_Jun_2024,US_Mobile_&_Tablet_-_May_2024,US_Mobile_&_Tablet_-_Nov_2024,US_Mobile_&_Tablet_-_Oct_2024,US_Mobile_&_Tablet_-_Sep_2024,Weekend,AOV,ROAS
164,US,US,-,Desktop,2024-10-06,4847.530000000002,Oct,2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4847.530000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,34.32,29.5
165,US,US,-,Desktop,2024-10-07,36733.43,Oct,2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36733.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,34.32,29.5
166,US,US,-,Desktop,2024-10-08,44004.38,Oct,2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44004.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,34.32,29.5
167,US,US,-,Desktop,2024-10-09,36039.51,Oct,2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36039.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,34.32,29.5
168,US,US,-,Desktop,2024-10-10,38811.219999999994,Oct,2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38811.219999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,34.32,29.5
169,US,US,-,Desktop,2024-10-11,29714.629999999997,Oct,2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29714.629999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,34.32,29.5
170,US,US,-,Desktop,2024-10-12,5460.24,Oct,2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5460.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,34.32,29.5
171,US,US,-,Desktop,2024-10-13,4225.199999999999,Oct,2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4225.199999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,34.32,29.5
172,US,US,-,Desktop,2024-10-14,30281.42,Oct,2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30281.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,34.32,29.5
173,US,US,-,Desktop,2024-10-15,37886.380000000005,Oct,2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37886.380000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,34.32,29.5
174,US,US,-,Desktop,2024-10-16,36616.3,Oct,2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36616.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,34.32,29.5
175,US,US,-,Desktop,2024-10-17,29900.05,Oct,2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29900.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,34.32,29.5
176,US,US,-,Desktop,2024-10-18,26163.069999999996,Oct,2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26163.069999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,34.32,29.5
177,US,US,-,Desktop,2024-10-19,4705.85,Oct,2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4705.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,34.32,29.5
178,US,US,-,Desktop,2024-10-20,3786.83,Oct,2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3786.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,34.32,29.5
179,US,US,-,Desktop,2024-10-21,29912.949999999997,Oct,2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29912.949999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,34.32,29.5
180,US,US,-,Desktop,2024-10-22,32696.84,Oct,2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32696.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,34.32,29.5
181,US,US,-,Desktop,2024-10-23,33861.87000000001,Oct,2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33861.87000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,34.32,29.5
182,US,US,-,Desktop,2024-10-24,35316.299999999996,Oct,2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35316.299999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,34.32,29.5
