region,market,account_type,funnel,ds,X,y,anomaly_2021,covid_year_dummy,weekday_or_weekend,Month of Ds,AOV,ROAS
North America,Canada,-,Brand,2017-09-18,1061.380006948486,406.0,0,0,0,September,42.32,26.36
North America,Canada,-,Brand,2017-09-19,535.9799949657172,447.0,0,0,0,September,42.32,26.36
North America,Canada,-,Brand,2017-09-20,484.88998681120574,423.0,0,0,0,September,42.32,26.36
North America,Canada,-,Brand,2017-09-21,497.7700027637183,375.0,0,0,0,September,42.32,26.36
North America,Canada,-,Brand,2017-09-22,423.4300029370934,310.0,0,0,0,September,42.32,26.36
North America,Canada,-,Brand,2017-09-23,0.0,6.0,0,0,1,September,42.32,26.36
North America,Canada,-,Brand,2017-09-24,0.0,13.0,0,0,1,September,42.32,26.36
North America,Canada,-,Brand,2017-09-25,475.77000016346574,320.0,0,0,0,September,42.32,26.36
North America,Canada,-,Brand,2017-09-26,508.90000088885427,403.0,0,0,0,September,42.32,26.36
North America,Canada,-,Brand,2017-09-27,459.17999910563236,388.0,0,0,0,September,42.32,26.36
North America,Canada,-,Brand,2017-09-28,513.4000029228629,378.0,0,0,0,September,42.32,26.36
North America,Canada,-,Brand,2017-09-29,408.57999793067575,345.0,0,0,0,September,42.32,26.36
North America,Canada,-,Brand,2017-09-30,0.0,10.0,0,0,1,September,42.32,26.36
North America,Canada,-,Brand,2017-10-01,0.0,3.0,0,0,1,October,42.32,26.36
North America,Canada,-,Brand,2017-10-02,373.160000436008,292.0,0,0,0,October,42.32,26.36
North America,Canada,-,Brand,2017-10-03,160.48999942280352,321.0,0,0,0,October,42.32,26.36
North America,Canada,-,Brand,2017-10-04,423.0600014664233,421.0,0,0,0,October,42.32,26.36
North America,Canada,-,Brand,2017-10-05,417.24000371433783,336.0,0,0,0,October,42.32,26.36
North America,Canada,-,Brand,2017-10-06,405.1499958727509,278.0,0,0,0,October,42.32,26.36
North America,Canada,-,Brand,2017-10-07,0.0,2.0,0,0,1,October,42.32,26.36
North America,Canada,-,Brand,2017-10-09,248.67000076547265,17.0,0,0,0,October,42.32,26.36
North America,Canada,-,Brand,2017-10-10,386.4300007298588,223.0,0,0,0,October,42.32,26.36
North America,Canada,-,Brand,2017-10-11,397.1899949461222,295.0,0,0,0,October,42.32,26.36
North America,Canada,-,Brand,2017-10-12,366.169998947531,270.0,0,0,0,October,42.32,26.36
North America,Canada,-,Brand,2017-10-13,355.5100026093423,245.0,0,0,0,October,42.32,26.36
North America,Canada,-,Brand,2017-10-14,0.0,3.0,0,0,1,October,42.32,26.36
North America,Canada,-,Brand,2017-10-15,0.0,6.0,0,0,1,October,42.32,26.36
North America,Canada,-,Brand,2017-10-16,478.3199995681644,284.0,0,0,0,October,42.32,26.36
North America,Canada,-,Brand,2017-10-17,589.5100051742045,334.0,0,0,0,October,42.32,26.36
North America,Canada,-,Brand,2017-10-18,586.9599943459034,329.0,0,0,0,October,42.32,26.36
North America,Canada,-,Brand,2017-10-19,537.3599938172849,355.0,0,0,0,October,42.32,26.36
North America,Canada,-,Brand,2017-10-20,512.44999874942,320.0,0,0,0,October,42.32,26.36
North America,Canada,-,Brand,2017-10-21,0.0,5.0,0,0,1,October,42.32,26.36
North America,Canada,-,Brand,2017-10-22,0.0,4.0,0,0,1,October,42.32,26.36
North America,Canada,-,Brand,2017-10-23,579.2400088571012,281.0,0,0,0,October,42.32,26.36
North America,Canada,-,Brand,2017-10-24,553.7300057690591,285.0,0,0,0,October,42.32,26.36
North America,Canada,-,Brand,2017-10-25,581.7500042282044,250.0,0,0,0,October,42.32,26.36
North America,Canada,-,Brand,2017-10-26,562.0899948757143,401.0,0,0,0,October,42.32,26.36
North America,Canada,-,Brand,2017-10-27,685.169993724674,350.0,0,0,0,October,42.32,26.36
North America,Canada,-,Brand,2017-10-28,0.0,9.0,0,0,1,October,42.32,26.36
North America,Canada,-,Brand,2017-10-29,0.0,12.0,0,0,1,October,42.32,26.36
North America,Canada,-,Brand,2017-10-30,717.7299885824318,362.0,0,0,0,October,42.32,26.36
North America,Canada,-,Brand,2017-10-31,659.4900004081427,425.0,0,0,0,October,42.32,26.36
North America,Canada,-,Brand,2017-11-01,726.9300000462683,358.0,0,0,0,November,42.32,26.36
North America,Canada,-,Brand,2017-11-02,710.1199956573547,362.0,0,0,0,November,42.32,26.36
North America,Canada,-,Brand,2017-11-03,777.5100029185413,370.0,0,0,0,November,42.32,26.36
North America,Canada,-,Brand,2017-11-04,0.0,4.0,0,0,1,November,42.32,26.36
North America,Canada,-,Brand,2017-11-05,0.0,3.0,0,0,1,November,42.32,26.36
North America,Canada,-,Brand,2017-11-06,787.1299863643944,494.0,0,0,0,November,42.32,26.36
North America,Canada,-,Brand,2017-11-07,787.259998405352,431.0,0,0,0,November,42.32,26.36
North America,Canada,-,Brand,2017-11-08,790.9800097439438,471.0,0,0,0,November,42.32,26.36
North America,Canada,-,Brand,2017-11-09,816.1600126810372,403.0,0,0,0,November,42.32,26.36
North America,Canada,-,Brand,2017-11-10,734.8699915390464,414.0,0,0,0,November,42.32,26.36
North America,Canada,-,Brand,2017-11-11,0.0,2.0,0,0,1,November,42.32,26.36
North America,Canada,-,Brand,2017-11-12,0.0,5.0,0,0,1,November,42.32,26.36
North America,Canada,-,Brand,2017-11-13,824.530010230839,405.0,0,0,0,November,42.32,26.36
North America,Canada,-,Brand,2017-11-14,870.3699981421233,547.0,0,0,0,November,42.32,26.36
North America,Canada,-,Brand,2017-11-15,802.7400030549611,510.0,0,0,0,November,42.32,26.36
North America,Canada,-,Brand,2017-11-16,421.84999818913604,471.0,0,0,0,November,42.32,26.36
North America,Canada,-,Brand,2017-11-17,304.92000568099314,414.0,0,0,0,November,42.32,26.36
North America,Canada,-,Brand,2017-11-18,0.0,10.0,0,0,1,November,42.32,26.36
North America,Canada,-,Brand,2017-11-19,0.0,6.0,0,0,1,November,42.32,26.36
North America,Canada,-,Brand,2017-11-20,327.3300001900642,386.0,0,0,0,November,42.32,26.36
North America,Canada,-,Brand,2017-11-21,647.2799900397663,504.0,0,0,0,November,42.32,26.36
North America,Canada,-,Brand,2017-11-22,612.2600021082909,504.0,0,0,0,November,42.32,26.36
North America,Canada,-,Brand,2017-11-23,553.9199920780954,384.0,0,0,0,November,42.32,26.36
North America,Canada,-,Brand,2017-11-24,353.1900019254536,321.0,0,0,0,November,42.32,26.36
North America,Canada,-,Brand,2017-11-25,0.0,18.0,0,0,1,November,42.32,26.36
North America,Canada,-,Brand,2017-11-26,0.0,6.0,0,0,1,November,42.32,26.36
North America,Canada,-,Brand,2017-11-27,585.6900048460808,472.0,0,0,0,November,42.32,26.36
North America,Canada,-,Brand,2017-11-28,704.5299889147284,588.0,0,0,0,November,42.32,26.36
North America,Canada,-,Brand,2017-11-29,608.5200094226748,701.0,0,0,0,November,42.32,26.36
North America,Canada,-,Brand,2017-11-30,532.2600079700348,606.0,0,0,0,November,42.32,26.36
North America,Canada,-,Brand,2017-12-01,489.3399976268412,473.0,0,0,0,December,42.32,26.36
North America,Canada,-,Brand,2017-12-02,0.0,14.0,0,0,1,December,42.32,26.36
North America,Canada,-,Brand,2017-12-03,0.0,21.0,0,0,1,December,42.32,26.36
North America,Canada,-,Brand,2017-12-04,766.369991699234,532.0,0,0,0,December,42.32,26.36
North America,Canada,-,Brand,2017-12-05,866.2999910153445,577.0,0,0,0,December,42.32,26.36
North America,Canada,-,Brand,2017-12-06,880.5699986591939,538.0,0,0,0,December,42.32,26.36
North America,Canada,-,Brand,2017-12-07,841.3400057610128,537.0,0,0,0,December,42.32,26.36
North America,Canada,-,Brand,2017-12-08,783.9699831232431,493.0,0,0,0,December,42.32,26.36
North America,Canada,-,Brand,2017-12-09,0.0,10.0,0,0,1,December,42.32,26.36
North America,Canada,-,Brand,2017-12-10,0.0,9.0,0,0,1,December,42.32,26.36
North America,Canada,-,Brand,2017-12-11,994.8700366895644,614.0,0,0,0,December,42.32,26.36
North America,Canada,-,Brand,2017-12-12,861.5200137216598,662.0,0,0,0,December,42.32,26.36
North America,Canada,-,Brand,2017-12-13,952.3900115210567,664.0,0,0,0,December,42.32,26.36
North America,Canada,-,Brand,2017-12-14,1155.7799820210794,628.0,0,0,0,December,42.32,26.36
North America,Canada,-,Brand,2017-12-15,960.5799944531166,586.0,0,0,0,December,42.32,26.36
North America,Canada,-,Brand,2017-12-16,0.0,7.0,0,0,1,December,42.32,26.36
North America,Canada,-,Brand,2017-12-17,0.0,9.0,0,0,1,December,42.32,26.36
North America,Canada,-,Brand,2017-12-18,1021.8799912389363,829.0,0,0,0,December,42.32,26.36
North America,Canada,-,Brand,2017-12-19,1055.889995483681,717.0,0,0,0,December,42.32,26.36
North America,Canada,-,Brand,2017-12-20,916.730018774047,785.0,0,0,0,December,42.32,26.36
North America,Canada,-,Brand,2017-12-21,552.9200066104529,654.0,0,0,0,December,42.32,26.36
North America,Canada,-,Brand,2017-12-22,491.17001223005377,420.0,0,0,0,December,42.32,26.36
North America,Canada,-,Brand,2017-12-23,0.0,4.0,0,0,1,December,42.32,26.36
North America,Canada,-,Brand,2017-12-24,0.0,5.0,0,0,1,December,42.32,26.36
North America,Canada,-,Brand,2017-12-25,54.219999853521585,11.0,0,0,0,December,42.32,26.36
North America,Canada,-,Brand,2017-12-26,181.4700016770512,25.0,0,0,0,December,42.32,26.36
North America,Canada,-,Brand,2017-12-27,562.9000062905252,363.0,0,0,0,December,42.32,26.36
North America,Canada,-,Brand,2017-12-28,691.4700155165049,284.0,0,0,0,December,42.32,26.36
North America,Canada,-,Brand,2017-12-29,524.109988655895,194.0,0,0,0,December,42.32,26.36
North America,Canada,-,Brand,2017-12-30,0.0,2.0,0,0,1,December,42.32,26.36
North America,Canada,-,Brand,2018-01-01,84.33999893069267,5.0,0,0,0,January,42.32,26.36
North America,Canada,-,Brand,2018-01-02,590.6000013891608,201.0,0,0,0,January,42.32,26.36
North America,Canada,-,Brand,2018-01-03,647.3199950866401,240.0,0,0,0,January,42.32,26.36
North America,Canada,-,Brand,2018-01-04,679.9700131192801,254.0,0,0,0,January,42.32,26.36
North America,Canada,-,Brand,2018-01-05,562.4599998891354,198.0,0,0,0,January,42.32,26.36
North America,Canada,-,Brand,2018-01-06,0.0,6.0,0,0,1,January,42.32,26.36
North America,Canada,-,Brand,2018-01-07,0.0,6.0,0,0,1,January,42.32,26.36
North America,Canada,-,Brand,2018-01-08,755.4399959668516,287.0,0,0,0,January,42.32,26.36
North America,Canada,-,Brand,2018-01-09,819.6699978634717,298.0,0,0,0,January,42.32,26.36
North America,Canada,-,Brand,2018-01-10,756.5600059647114,314.0,0,0,0,January,42.32,26.36
North America,Canada,-,Brand,2018-01-11,698.6300040315838,370.0,0,0,0,January,42.32,26.36
North America,Canada,-,Brand,2018-01-12,662.1500168032944,291.0,0,0,0,January,42.32,26.36
North America,Canada,-,Brand,2018-01-13,0.0,2.0,0,0,1,January,42.32,26.36
North America,Canada,-,Brand,2018-01-14,0.0,2.0,0,0,1,January,42.32,26.36
North America,Canada,-,Brand,2018-01-15,718.7100085485729,334.0,0,0,0,January,42.32,26.36
North America,Canada,-,Brand,2018-01-16,677.6399861238896,355.0,0,0,0,January,42.32,26.36
North America,Canada,-,Brand,2018-01-17,740.0900007560849,313.0,0,0,0,January,42.32,26.36
North America,Canada,-,Brand,2018-01-18,724.0199791137129,255.0,0,0,0,January,42.32,26.36
North America,Canada,-,Brand,2018-01-19,616.7700076662002,306.0,0,0,0,January,42.32,26.36
North America,Canada,-,Brand,2018-01-20,0.0,8.0,0,0,1,January,42.32,26.36
North America,Canada,-,Brand,2018-01-21,0.0,5.0,0,0,1,January,42.32,26.36
North America,Canada,-,Brand,2018-01-22,748.0399831589314,322.0,0,0,0,January,42.32,26.36
North America,Canada,-,Brand,2018-01-23,818.9000018537046,316.0,0,0,0,January,42.32,26.36
North America,Canada,-,Brand,2018-01-24,643.1900189630692,353.0,0,0,0,January,42.32,26.36
North America,Canada,-,Brand,2018-01-25,593.009985830635,316.0,0,0,0,January,42.32,26.36
North America,Canada,-,Brand,2018-01-26,547.6699882820249,222.0,0,0,0,January,42.32,26.36
North America,Canada,-,Brand,2018-01-27,0.0,13.0,0,0,1,January,42.32,26.36
North America,Canada,-,Brand,2018-01-28,0.0,16.0,0,0,1,January,42.32,26.36
North America,Canada,-,Brand,2018-01-29,657.7899996358899,273.0,0,0,0,January,42.32,26.36
North America,Canada,-,Brand,2018-01-30,655.7099865507334,274.0,0,0,0,January,42.32,26.36
North America,Canada,-,Brand,2018-01-31,748.9299898184835,333.0,0,0,0,January,42.32,26.36
North America,Canada,-,Brand,2018-02-01,776.5100071337075,305.0,0,0,0,February,42.32,26.36
North America,Canada,-,Brand,2018-02-02,665.3299948573114,321.0,0,0,0,February,42.32,26.36
North America,Canada,-,Brand,2018-02-03,0.0,3.0,0,0,1,February,42.32,26.36
North America,Canada,-,Brand,2018-02-04,0.0,1.0,0,0,1,February,42.32,26.36
North America,Canada,-,Brand,2018-02-05,814.1699827052649,359.0,0,0,0,February,42.32,26.36
North America,Canada,-,Brand,2018-02-06,815.2900026123973,392.0,0,0,0,February,42.32,26.36
North America,Canada,-,Brand,2018-02-07,742.8899773154408,338.0,0,0,0,February,42.32,26.36
North America,Canada,-,Brand,2018-02-08,714.3400146327914,327.0,0,0,0,February,42.32,26.36
North America,Canada,-,Brand,2018-02-09,627.5000007301572,345.0,0,0,0,February,42.32,26.36
North America,Canada,-,Brand,2018-02-10,0.0,4.0,0,0,1,February,42.32,26.36
North America,Canada,-,Brand,2018-02-11,0.0,12.0,0,0,1,February,42.32,26.36
North America,Canada,-,Brand,2018-02-12,552.6600017920136,265.0,0,0,0,February,42.32,26.36
North America,Canada,-,Brand,2018-02-13,650.0399866309017,397.0,0,0,0,February,42.32,26.36
North America,Canada,-,Brand,2018-02-14,582.059997174889,290.0,0,0,0,February,42.32,26.36
North America,Canada,-,Brand,2018-02-15,593.1699980534613,342.0,0,0,0,February,42.32,26.36
North America,Canada,-,Brand,2018-02-16,570.090007385239,292.0,0,0,0,February,42.32,26.36
North America,Canada,-,Brand,2018-02-17,0.0,292.0,0,0,1,February,42.32,26.36
North America,Canada,-,Brand,2018-02-18,0.0,292.0,0,0,1,February,42.32,26.36
North America,Canada,-,Brand,2018-02-19,417.1999979261309,156.0,0,0,0,February,42.32,26.36
North America,Canada,-,Brand,2018-02-20,891.4199846610426,316.0,0,0,0,February,42.32,26.36
North America,Canada,-,Brand,2018-02-21,857.219995411113,318.0,0,0,0,February,42.32,26.36
North America,Canada,-,Brand,2018-02-22,932.8100093472749,293.0,0,0,0,February,42.32,26.36
North America,Canada,-,Brand,2018-02-23,793.9100069887935,267.0,0,0,0,February,42.32,26.36
North America,Canada,-,Brand,2018-02-24,0.0,13.0,0,0,1,February,42.32,26.36
North America,Canada,-,Brand,2018-02-25,0.0,7.0,0,0,1,February,42.32,26.36
North America,Canada,-,Brand,2018-02-26,949.2700041588395,316.0,0,0,0,February,42.32,26.36
North America,Canada,-,Brand,2018-02-27,1027.8100139163432,403.0,0,0,0,February,42.32,26.36
North America,Canada,-,Brand,2018-02-28,665.8299970254303,350.0,0,0,0,February,42.32,26.36
North America,Canada,-,Brand,2018-03-01,699.1799905672673,331.0,0,0,0,March,42.32,26.36
North America,Canada,-,Brand,2018-03-02,637.0200003422796,335.0,0,0,0,March,42.32,26.36
North America,Canada,-,Brand,2018-03-03,0.0,4.0,0,0,1,March,42.32,26.36
North America,Canada,-,Brand,2018-03-04,0.0,17.0,0,0,1,March,42.32,26.36
North America,Canada,-,Brand,2018-03-05,1016.3599940165881,364.0,0,0,0,March,42.32,26.36
North America,Canada,-,Brand,2018-03-06,1065.2899956330657,377.0,0,0,0,March,42.32,26.36
North America,Canada,-,Brand,2018-03-07,1218.2700186595318,359.0,0,0,0,March,42.32,26.36
North America,Canada,-,Brand,2018-03-08,1102.510008415207,356.0,0,0,0,March,42.32,26.36
North America,Canada,-,Brand,2018-03-09,991.6399868391458,124.0,0,0,0,March,42.32,26.36
North America,Canada,-,Brand,2018-03-10,9.409999983385205,124.0,0,0,1,March,42.32,26.36
North America,Canada,-,Brand,2018-03-11,5.3799999095499516,124.0,0,0,1,March,42.32,26.36
North America,Canada,-,Brand,2018-03-12,846.2799990568309,147.0,0,0,0,March,42.32,26.36
North America,Canada,-,Brand,2018-03-13,732.9299925807863,148.0,0,0,0,March,42.32,26.36
North America,Canada,-,Brand,2018-03-14,574.3400007225574,105.0,0,0,0,March,42.32,26.36
North America,Canada,-,Brand,2018-03-15,696.840008135885,148.0,0,0,0,March,42.32,26.36
North America,Canada,-,Brand,2018-03-16,755.1099963653833,98.0,0,0,0,March,42.32,26.36
North America,Canada,-,Brand,2018-03-17,10.309999890625477,22.0,0,0,1,March,42.32,26.36
North America,Canada,-,Brand,2018-03-18,5.900000095367432,2.0,0,0,1,March,42.32,26.36
North America,Canada,-,Brand,2018-03-19,801.7300001531839,163.0,0,0,0,March,42.32,26.36
North America,Canada,-,Brand,2018-03-20,635.9199973549693,146.0,0,0,0,March,42.32,26.36
North America,Canada,-,Brand,2018-03-21,21.579999797046185,86.0,0,0,0,March,42.32,26.36
North America,Canada,-,Brand,2018-03-22,79.51999889686704,65.0,0,0,0,March,42.32,26.36
North America,Canada,-,Brand,2018-03-23,136.3000006545335,69.0,0,0,0,March,42.32,26.36
North America,Canada,-,Brand,2018-03-24,1.1599999442696571,69.0,0,0,1,March,42.32,26.36
North America,Canada,-,Brand,2018-03-25,0.9300000034272671,25.0,0,0,1,March,42.32,26.36
North America,Canada,-,Brand,2018-03-26,188.0599997229874,57.0,0,0,0,March,42.32,26.36
North America,Canada,-,Brand,2018-03-27,564.4700031597165,225.0,0,0,0,March,42.32,26.36
North America,Canada,-,Brand,2018-03-28,743.5900022126733,222.0,0,0,0,March,42.32,26.36
North America,Canada,-,Brand,2018-03-29,734.5400050189347,248.0,0,0,0,March,42.32,26.36
North America,Canada,-,Brand,2018-03-30,246.72000047378242,18.0,0,0,0,March,42.32,26.36
North America,Canada,-,Brand,2018-03-31,6.279999924823642,4.0,0,0,1,March,42.32,26.36
North America,Canada,-,Brand,2018-04-01,11.280000001192093,3.0,0,0,1,April,42.32,26.36
North America,Canada,-,Brand,2018-04-02,664.2200049050151,196.0,0,0,0,April,42.32,26.36
North America,Canada,-,Brand,2018-04-03,822.0699959862976,384.0,0,0,0,April,42.32,26.36
North America,Canada,-,Brand,2018-04-04,833.8699883017687,377.0,0,0,0,April,42.32,26.36
North America,Canada,-,Brand,2018-04-05,754.7700064610691,363.0,0,0,0,April,42.32,26.36
North America,Canada,-,Brand,2018-04-06,653.5500034838915,269.0,0,0,0,April,42.32,26.36
North America,Canada,-,Brand,2018-04-07,15.800000011920929,4.0,0,0,1,April,42.32,26.36
North America,Canada,-,Brand,2018-04-08,12.139999907463789,7.0,0,0,1,April,42.32,26.36
North America,Canada,-,Brand,2018-04-09,761.4999928660693,336.0,0,0,0,April,42.32,26.36
North America,Canada,-,Brand,2018-04-10,716.8200027178978,411.0,0,0,0,April,42.32,26.36
North America,Canada,-,Brand,2018-04-11,745.2700005453079,412.0,0,0,0,April,42.32,26.36
North America,Canada,-,Brand,2018-04-12,666.4700028467925,389.0,0,0,0,April,42.32,26.36
North America,Canada,-,Brand,2018-04-13,636.420004427433,347.0,0,0,0,April,42.32,26.36
North America,Canada,-,Brand,2018-04-14,12.379999905824661,8.0,0,0,1,April,42.32,26.36
North America,Canada,-,Brand,2018-04-15,11.170000072568655,7.0,0,0,1,April,42.32,26.36
North America,Canada,-,Brand,2018-04-16,864.0600203815848,268.0,0,0,0,April,42.32,26.36
North America,Canada,-,Brand,2018-04-17,1008.5899779871102,437.0,0,0,0,April,42.32,26.36
North America,Canada,-,Brand,2018-04-18,1118.8899892847985,401.0,0,0,0,April,42.32,26.36
North America,Canada,-,Brand,2018-04-19,899.9000062309206,425.0,0,0,0,April,42.32,26.36
North America,Canada,-,Brand,2018-04-20,640.9699980542065,320.0,0,0,0,April,42.32,26.36
North America,Canada,-,Brand,2018-04-21,0.0,9.0,0,0,1,April,42.32,26.36
North America,Canada,-,Brand,2018-04-22,0.0,8.0,0,0,1,April,42.32,26.36
North America,Canada,-,Brand,2018-04-23,726.5199995897713,404.0,0,0,0,April,42.32,26.36
North America,Canada,-,Brand,2018-04-24,829.560011897236,398.0,0,0,0,April,42.32,26.36
North America,Canada,-,Brand,2018-04-25,768.9800107069311,474.0,0,0,0,April,42.32,26.36
North America,Canada,-,Brand,2018-04-26,808.2799859195948,406.0,0,0,0,April,42.32,26.36
North America,Canada,-,Brand,2018-04-27,769.9499973393979,329.0,0,0,0,April,42.32,26.36
North America,Canada,-,Brand,2018-04-28,0.05000000074505806,41.0,0,0,1,April,42.32,26.36
North America,Canada,-,Brand,2018-04-29,0.11999999731779099,7.0,0,0,1,April,42.32,26.36
North America,Canada,-,Brand,2018-04-30,916.7699979599565,504.0,0,0,0,April,42.32,26.36
North America,Canada,-,Brand,2018-05-01,975.6400069538503,493.0,0,0,0,May,42.32,26.36
North America,Canada,-,Brand,2018-05-02,853.979994662106,419.0,0,0,0,May,42.32,26.36
North America,Canada,-,Brand,2018-05-03,813.9299939796326,408.0,0,0,0,May,42.32,26.36
North America,Canada,-,Brand,2018-05-04,942.4499952867627,347.0,0,0,0,May,42.32,26.36
North America,Canada,-,Brand,2018-05-05,0.15000000223517418,6.0,0,0,1,May,42.32,26.36
North America,Canada,-,Brand,2018-05-06,0.0,11.0,0,0,1,May,42.32,26.36
North America,Canada,-,Brand,2018-05-07,1246.6700042523441,481.0,0,0,0,May,42.32,26.36
North America,Canada,-,Brand,2018-05-08,1161.0099994968623,413.0,0,0,0,May,42.32,26.36
North America,Canada,-,Brand,2018-05-09,973.0499935913831,461.0,0,0,0,May,42.32,26.36
North America,Canada,-,Brand,2018-05-10,975.9700019191948,42.0,0,0,0,May,42.32,26.36
North America,Canada,-,Brand,2018-05-11,872.6399835236372,341.0,0,0,0,May,42.32,26.36
North America,Canada,-,Brand,2018-05-12,0.15000000223517418,77.0,0,0,1,May,42.32,26.36
North America,Canada,-,Brand,2018-05-13,0.0,29.0,0,0,1,May,42.32,26.36
North America,Canada,-,Brand,2018-05-14,1018.8099949024615,470.0,0,0,0,May,42.32,26.36
North America,Canada,-,Brand,2018-05-15,933.2600067500023,418.0,0,0,0,May,42.32,26.36
North America,Canada,-,Brand,2018-05-16,735.6300050020218,416.0,0,0,0,May,42.32,26.36
North America,Canada,-,Brand,2018-05-17,697.9500079005957,425.0,0,0,0,May,42.32,26.36
North America,Canada,-,Brand,2018-05-18,551.189998185262,346.0,0,0,0,May,42.32,26.36
North America,Canada,-,Brand,2018-05-19,123.24999934062362,62.0,0,0,1,May,42.32,26.36
North America,Canada,-,Brand,2018-05-20,92.79999937862158,12.0,0,0,1,May,42.32,26.36
North America,Canada,-,Brand,2018-05-21,238.150000680238,46.0,0,0,0,May,42.32,26.36
North America,Canada,-,Brand,2018-05-22,990.4400021024047,418.0,0,0,0,May,42.32,26.36
North America,Canada,-,Brand,2018-05-23,1101.0099976751953,409.0,0,0,0,May,42.32,26.36
North America,Canada,-,Brand,2018-05-24,935.6200027689337,406.0,0,0,0,May,42.32,26.36
North America,Canada,-,Brand,2018-05-25,990.8600035849961,414.0,0,0,0,May,42.32,26.36
North America,Canada,-,Brand,2018-05-26,3.000000014901161,77.0,0,0,1,May,42.32,26.36
North America,Canada,-,Brand,2018-05-27,3.060000017285347,12.0,0,0,1,May,42.32,26.36
North America,Canada,-,Brand,2018-05-28,981.5500182602551,395.0,0,0,0,May,42.32,26.36
North America,Canada,-,Brand,2018-05-29,1243.3300218116494,562.0,0,0,0,May,42.32,26.36
North America,Canada,-,Brand,2018-05-30,1099.2999841440474,607.0,0,0,0,May,42.32,26.36
North America,Canada,-,Brand,2018-05-31,753.450005866587,442.0,0,0,0,May,42.32,26.36
North America,Canada,-,Brand,2018-06-01,776.9699976090342,363.0,0,0,0,June,42.32,26.36
