,region_x,market,funnel,account_type,ds,X,Month,Year,Spain_Desktop_-_Apr_2024,Spain_Desktop_-_Aug_2024,Spain_Desktop_-_Dec_2024,Spain_Desktop_-_Jul_2024,Spain_Desktop_-_Jun_2024,Spain_Desktop_-_May_2024,Spain_Desktop_-_Nov_2024,Spain_Desktop_-_Oct_2024,Spain_Desktop_-_Sep_2024,Spain_Mobile_&_Tablet_-_Apr_2024,Spain_Mobile_&_Tablet_-_Aug_2024,Spain_Mobile_&_Tablet_-_Dec_2024,Spain_Mobile_&_Tablet_-_Jul_2024,Spain_Mobile_&_Tablet_-_Jun_2024,Spain_Mobile_&_Tablet_-_May_2024,Spain_Mobile_&_Tablet_-_Nov_2024,Spain_Mobile_&_Tablet_-_Oct_2024,Spain_Mobile_&_Tablet_-_Sep_2024,Weekend,region_y,revenue,cost,conversion,AOV,ROAS
25,EMEA,Spain,-,Desktop,2024-05-20,2093.76,May,2024,0.0,0.0,0.0,0.0,0.0,2093.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,EMEA,2266401.844,8355484.22,71899,31.5220217805533,0.271247217315671
26,EMEA,Spain,-,Desktop,2024-05-21,1827.4099999999996,May,2024,0.0,0.0,0.0,0.0,0.0,1827.4099999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,EMEA,2266401.844,8355484.22,71899,31.5220217805533,0.271247217315671
27,EMEA,Spain,-,Desktop,2024-05-22,1751.18,May,2024,0.0,0.0,0.0,0.0,0.0,1751.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,EMEA,2266401.844,8355484.22,71899,31.5220217805533,0.271247217315671
28,EMEA,Spain,-,Desktop,2024-05-23,1579.12,May,2024,0.0,0.0,0.0,0.0,0.0,1579.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,EMEA,2266401.844,8355484.22,71899,31.5220217805533,0.271247217315671
29,EMEA,Spain,-,Desktop,2024-05-24,643.2299999999999,May,2024,0.0,0.0,0.0,0.0,0.0,643.2299999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,EMEA,2266401.844,8355484.22,71899,31.5220217805533,0.271247217315671
30,EMEA,Spain,-,Desktop,2024-05-25,18.78,May,2024,0.0,0.0,0.0,0.0,0.0,18.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,EMEA,2266401.844,8355484.22,71899,31.5220217805533,0.271247217315671
31,EMEA,Spain,-,Desktop,2024-05-26,16.53,May,2024,0.0,0.0,0.0,0.0,0.0,16.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,EMEA,2266401.844,8355484.22,71899,31.5220217805533,0.271247217315671
32,EMEA,Spain,-,Desktop,2024-05-27,120.88,May,2024,0.0,0.0,0.0,0.0,0.0,120.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,EMEA,2266401.844,8355484.22,71899,31.5220217805533,0.271247217315671
33,EMEA,Spain,-,Desktop,2024-05-28,146.45000000000002,May,2024,0.0,0.0,0.0,0.0,0.0,146.45000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,EMEA,2266401.844,8355484.22,71899,31.5220217805533,0.271247217315671
34,EMEA,Spain,-,Desktop,2024-05-29,378.40000000000003,May,2024,0.0,0.0,0.0,0.0,0.0,378.40000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,EMEA,2266401.844,8355484.22,71899,31.5220217805533,0.271247217315671
