,market,account_type,funnel,ds,region,X,y,weekday_or_weekend,Month of Ds,floor,revenue,cost,conversion,AOV,ROAS,cap
148,Spain,Desktop,-,2022-05-29,EMEA,136.41999999999996,23.0,1,May,0,2266401.844,8355484.22,71899,31.5220217805533,0.271247217315671,1.1738950516502786
149,Spain,Desktop,-,2022-05-30,EMEA,894.5500000000001,290.0,0,May,0,2266401.844,8355484.22,71899,31.5220217805533,0.271247217315671,7.697608990278237
150,Spain,Desktop,-,2022-05-31,EMEA,795.12,290.0,0,May,0,2266401.844,8355484.22,71899,31.5220217805533,0.271247217315671,6.842013146665957
151,Spain,Desktop,-,2022-06-01,EMEA,811.9599999999999,321.0,0,June,0,2266401.844,8355484.22,71899,31.5220217805533,0.271247217315671,6.986921464139866
152,Spain,Desktop,-,2022-06-02,EMEA,775.1699999999998,253.0,0,June,0,2266401.844,8355484.22,71899,31.5220217805533,0.271247217315671,6.670343257497043
153,Spain,Desktop,-,2022-06-03,EMEA,473.8399999999999,251.0,0,June,0,2266401.844,8355484.22,71899,31.5220217805533,0.271247217315671,4.077396505453512
154,Spain,Desktop,-,2022-06-04,EMEA,100.74,18.0,1,June,0,2266401.844,8355484.22,71899,31.5220217805533,0.271247217315671,0.8668684027506899
155,Spain,Desktop,-,2022-06-05,EMEA,106.00999999999999,9.0,1,June,0,2266401.844,8355484.22,71899,31.5220217805533,0.271247217315671,0.9122167895136055
156,Spain,Desktop,-,2022-06-06,EMEA,708.72,229.0,0,June,0,2266401.844,8355484.22,71899,31.5220217805533,0.271247217315671,6.098540543949464
157,Spain,Desktop,-,2022-06-07,EMEA,965.4399999999999,309.0,0,June,0,2266401.844,8355484.22,71899,31.5220217805533,0.271247217315671,8.307617934798749
158,Spain,Desktop,-,2022-06-08,EMEA,1002.79,307.0,0,June,0,2266401.844,8355484.22,71899,31.5220217805533,0.271247217315671,8.629014945348066
159,Spain,Desktop,-,2022-06-09,EMEA,993.21,275.0,0,June,0,2266401.844,8355484.22,71899,31.5220217805533,0.271247217315671,8.546578978519085
160,Spain,Desktop,-,2022-06-10,EMEA,796.3300000000002,276.0,0,June,0,2266401.844,8355484.22,71899,31.5220217805533,0.271247217315671,6.85242520510678
161,Spain,Desktop,-,2022-06-11,EMEA,110.33000000000001,12.0,1,June,0,2266401.844,8355484.22,71899,31.5220217805533,0.271247217315671,0.9493904196494304
