,market,account_type,funnel,periods_for_acc_cal,changepoint_prior_scale,seasonality_prior_scale,holidays_prior_scale,seasonality_mode,input_mode,weekday_or_weekend,include_holiday,covid_year_exclude,covid_year_dummy,anomaly_2021,generic_cost_split,competitor_cost_split,new_confirmed,January_Feb_2023,power,growth,MAPE,period_AE
0,US,Bing Ads,Generic,183,0.1,10.0,1.0,additive,additive,multiplicative,na,na,na,na,na,na,na,na,na,linear,172.92,4.390000000000001
0,US,Bing Ads,Generic,183,0.1,10.0,1.0,additive,additive,multiplicative,na,na,na,na,na,na,na,additive,na,linear,172.92,4.390000000000001
0,US,Bing Ads,Generic,183,0.1,10.0,1.0,additive,additive,multiplicative,na,na,na,na,na,na,na,na,na,logistic,112.26,45.22
0,US,Bing Ads,Generic,183,0.1,10.0,1.0,additive,additive,multiplicative,na,na,na,na,na,na,na,multiplicative,na,linear,172.92,4.390000000000001
0,US,Bing Ads,Generic,183,0.1,10.0,1.0,additive,additive,multiplicative,na,na,na,na,na,na,na,additive,na,logistic,112.26,45.22
0,US,Bing Ads,Generic,183,0.1,10.0,1.0,additive,additive,multiplicative,na,na,na,na,na,na,na,multiplicative,na,logistic,112.26,45.22
0,US,Bing Ads,Generic,183,0.1,10.0,1.0,additive,additive,multiplicative,default,na,na,na,na,na,na,na,na,linear,172.92,4.390000000000001
0,US,Bing Ads,Generic,183,0.1,10.0,1.0,additive,additive,multiplicative,default,na,na,na,na,na,na,additive,na,linear,172.92,4.390000000000001
0,US,Bing Ads,Generic,183,0.1,10.0,1.0,additive,additive,multiplicative,default,na,na,na,na,na,na,multiplicative,na,linear,172.92,4.390000000000001
0,US,Bing Ads,Generic,183,0.1,10.0,1.0,additive,additive,multiplicative,default,na,na,na,na,na,na,na,na,logistic,112.26,45.22
0,US,Bing Ads,Generic,183,0.1,10.0,1.0,additive,additive,multiplicative,default,na,na,na,na,na,na,additive,na,logistic,112.26,45.22
0,US,Bing Ads,Generic,183,0.1,10.0,1.0,additive,additive,multiplicative,default,na,na,na,na,na,na,multiplicative,na,logistic,112.26,45.22
0,US,Bing Ads,Generic,183,0.1,10.0,1.0,additive,additive,multiplicative,customized,na,na,na,na,na,na,na,na,linear,172.92,4.390000000000001
0,US,Bing Ads,Generic,183,0.1,10.0,1.0,additive,additive,multiplicative,customized,na,na,na,na,na,na,additive,na,linear,172.92,4.390000000000001
0,US,Bing Ads,Generic,183,0.1,10.0,1.0,additive,additive,multiplicative,customized,na,na,na,na,na,na,multiplicative,na,linear,172.92,4.390000000000001
0,US,Bing Ads,Generic,183,0.1,10.0,1.0,additive,additive,multiplicative,customized,na,na,na,na,na,na,na,na,logistic,112.26,45.22
0,US,Bing Ads,Generic,183,0.1,10.0,1.0,additive,additive,multiplicative,customized,na,na,na,na,na,na,additive,na,logistic,112.26,45.22
0,US,Bing Ads,Generic,183,0.1,10.0,1.0,additive,additive,multiplicative,customized,na,na,na,na,na,na,multiplicative,na,logistic,112.26,45.22
0,US,Bing Ads,Generic,183,0.1,10.0,1.0,additive,multiplicative,na,na,na,na,na,na,na,na,na,na,linear,244.4,25.669999999999998
0,US,Bing Ads,Generic,183,0.1,10.0,1.0,additive,multiplicative,na,na,na,na,na,na,na,na,additive,na,linear,244.4,25.669999999999998
0,US,Bing Ads,Generic,183,0.1,10.0,1.0,additive,multiplicative,na,na,na,na,na,na,na,na,na,na,logistic,105.02,51.9
0,US,Bing Ads,Generic,183,0.1,10.0,1.0,additive,multiplicative,na,na,na,na,na,na,na,na,additive,na,logistic,105.02,51.9
0,US,Bing Ads,Generic,183,0.1,10.0,1.0,additive,multiplicative,na,na,na,na,na,na,na,na,multiplicative,na,linear,244.4,25.669999999999998
0,US,Bing Ads,Generic,183,0.1,10.0,1.0,additive,multiplicative,na,na,na,na,na,na,na,na,multiplicative,na,logistic,105.02,51.9
0,US,Bing Ads,Generic,183,0.1,10.0,1.0,additive,multiplicative,na,default,na,na,na,na,na,na,na,na,linear,244.4,25.669999999999998
0,US,Bing Ads,Generic,183,0.1,10.0,1.0,additive,multiplicative,na,default,na,na,na,na,na,na,additive,na,linear,244.4,25.669999999999998
0,US,Bing Ads,Generic,183,0.1,10.0,1.0,additive,multiplicative,na,default,na,na,na,na,na,na,na,na,logistic,105.02,51.9
0,US,Bing Ads,Generic,183,0.1,10.0,1.0,additive,multiplicative,na,default,na,na,na,na,na,na,multiplicative,na,linear,244.4,25.669999999999998
0,US,Bing Ads,Generic,183,0.1,10.0,1.0,additive,multiplicative,na,default,na,na,na,na,na,na,additive,na,logistic,105.02,51.9
0,US,Bing Ads,Generic,183,0.1,10.0,1.0,additive,multiplicative,na,default,na,na,na,na,na,na,multiplicative,na,logistic,105.02,51.9
0,US,Bing Ads,Generic,183,0.1,10.0,1.0,additive,multiplicative,na,customized,na,na,na,na,na,na,na,na,linear,244.4,25.669999999999998
0,US,Bing Ads,Generic,183,0.1,10.0,1.0,additive,multiplicative,na,customized,na,na,na,na,na,na,additive,na,linear,244.4,25.669999999999998
0,US,Bing Ads,Generic,183,0.1,10.0,1.0,additive,multiplicative,na,customized,na,na,na,na,na,na,na,na,logistic,105.02,51.9
0,US,Bing Ads,Generic,183,0.1,10.0,1.0,additive,multiplicative,na,customized,na,na,na,na,na,na,additive,na,logistic,105.02,51.9
0,US,Bing Ads,Generic,183,0.1,10.0,1.0,additive,multiplicative,na,customized,na,na,na,na,na,na,multiplicative,na,linear,244.4,25.669999999999998
0,US,Bing Ads,Generic,183,0.1,10.0,1.0,additive,multiplicative,na,customized,na,na,na,na,na,na,multiplicative,na,logistic,105.02,51.9
0,US,Bing Ads,Generic,183,0.1,10.0,1.0,additive,multiplicative,additive,na,na,na,na,na,na,na,na,na,linear,305.75,46.87
