,market,account_type,funnel,ds,region,X,y,key_0
476,France,Desktop,-,2023-05-22,Europe,5047.2300000000005,1183.0,
477,France,Desktop,-,2023-05-23,Europe,5022.06,1285.0,
478,France,Desktop,-,2023-05-24,Europe,4922.519999999999,1117.0,
479,France,Desktop,-,2023-05-25,Europe,4004.11,1070.0,
480,France,Desktop,-,2023-05-26,Europe,2118.4399999999996,972.0,
481,France,Desktop,-,2023-05-27,Europe,189.68,41.0,
482,France,Desktop,-,2023-05-28,Europe,114.57,7.0,
483,France,Desktop,-,2023-05-29,Europe,298.91,249.0,
484,France,Desktop,-,2023-05-30,Europe,1004.8399999999999,770.0,
485,France,Desktop,-,2023-05-31,Europe,1324.8499999999997,747.0,
486,France,Desktop,-,2023-06-01,Europe,3475.56,921.0,
487,France,Desktop,-,2023-06-02,Europe,3159.3500000000004,714.0,
488,France,Desktop,-,2023-06-03,Europe,879.55,82.0,
489,France,Desktop,-,2023-06-04,Europe,760.7700000000002,98.0,
490,France,Desktop,-,2023-06-05,Europe,4709.6500000000015,928.0,
491,France,Desktop,-,2023-06-06,Europe,4110.11,915.0,
492,France,Desktop,-,2023-06-07,Europe,3349.3500000000004,970.0,
493,France,Desktop,-,2023-06-08,Europe,3405.749999999999,886.0,
494,France,Desktop,-,2023-06-09,Europe,3081.99,936.0,
495,France,Desktop,-,2023-06-10,Europe,961.14,54.0,
496,France,Desktop,-,2023-06-11,Europe,771.0699999999998,77.0,
497,France,Desktop,-,2023-06-12,Europe,4547.59,978.0,
498,France,Desktop,-,2023-06-13,Europe,4805.76,1015.0,
499,France,Desktop,-,2023-06-14,Europe,4626.120000000002,928.0,
500,France,Desktop,-,2023-06-15,Europe,4101.83,942.0,
501,France,Desktop,-,2023-06-16,Europe,3993.9500000000003,828.0,
502,France,Desktop,-,2023-06-17,Europe,953.7600000000002,48.0,
503,France,Desktop,-,2023-06-18,Europe,1166.95,83.0,
504,France,Desktop,-,2023-06-19,Europe,7394.56,868.0,
505,France,Desktop,-,2023-06-20,Europe,6432.810000000002,946.0,
506,France,Desktop,-,2023-06-21,Europe,3635.0700000000006,879.0,
507,France,Desktop,-,2023-06-22,Europe,3257.620000000001,848.0,
508,France,Desktop,-,2023-06-23,Europe,2932.7499999999995,744.0,
509,France,Desktop,-,2023-06-24,Europe,634.86,47.0,
510,France,Desktop,-,2023-06-25,Europe,574.31,87.0,
511,France,Desktop,-,2023-06-26,Europe,3792.8399999999997,949.0,
512,France,Desktop,-,2023-06-27,Europe,3942.05,857.0,
513,France,Desktop,-,2023-06-28,Europe,3585.3199999999997,778.0,
514,France,Desktop,-,2023-06-29,Europe,3642.9400000000005,855.0,
515,France,Desktop,-,2023-06-30,Europe,3127.9700000000003,760.0,
516,France,Desktop,-,2023-07-01,Europe,1081.2900000000002,61.0,
517,France,Desktop,-,2023-07-02,Europe,1092.4199999999998,104.0,
518,France,Desktop,-,2023-07-03,Europe,6081.02,893.0,
519,France,Desktop,-,2023-07-04,Europe,5801.52,949.0,
520,France,Desktop,-,2023-07-05,Europe,5780.280000000001,840.0,
521,France,Desktop,-,2023-07-06,Europe,2376.1,894.0,
522,France,Desktop,-,2023-07-07,Europe,1869.65,715.0,
523,France,Desktop,-,2023-07-08,Europe,475.88,62.0,
524,France,Desktop,-,2023-07-09,Europe,362.9,59.0,
525,France,Desktop,-,2023-07-10,Europe,2123.6900000000005,883.0,
526,France,Desktop,-,2023-07-11,Europe,2501.0699999999997,834.0,
527,France,Desktop,-,2023-07-12,Europe,2254.3500000000004,872.0,
528,France,Desktop,-,2023-07-13,Europe,1950.58,843.0,
529,France,Desktop,-,2023-07-14,Europe,767.8499999999999,154.0,
530,France,Desktop,-,2023-07-15,Europe,430.81999999999994,71.0,
531,France,Desktop,-,2023-07-16,Europe,425.2099999999999,64.0,
532,France,Desktop,-,2023-07-17,Europe,2440.0699999999997,947.0,
533,France,Desktop,-,2023-07-18,Europe,2374.9599999999996,820.0,
534,France,Desktop,-,2023-07-19,Europe,2217.57,894.0,
535,France,Desktop,-,2023-07-20,Europe,2021.4,752.0,
536,France,Desktop,-,2023-07-21,Europe,1806.54,699.0,
537,France,Desktop,-,2023-07-22,Europe,428.79,54.0,
538,France,Desktop,-,2023-07-23,Europe,368.92999999999995,60.0,
539,France,Desktop,-,2023-07-24,Europe,1980.9600000000003,786.0,
540,France,Desktop,-,2023-07-25,Europe,2271.060000000001,714.0,
541,France,Desktop,-,2023-07-26,Europe,2448.2799999999997,766.0,
542,France,Desktop,-,2023-07-27,Europe,2643.4699999999993,789.0,
543,France,Desktop,-,2023-07-28,Europe,3387.11,634.0,
544,France,Desktop,-,2023-07-29,Europe,1074.6999999999998,52.0,
545,France,Desktop,-,2023-07-30,Europe,702.9799999999999,54.0,
546,France,Desktop,-,2023-07-31,Europe,4654.179999999999,715.0,
547,France,Desktop,-,2023-08-01,Europe,4042.040000000001,643.0,
548,France,Desktop,-,2023-08-02,Europe,2773.4900000000002,580.0,
549,France,Desktop,-,2023-08-03,Europe,2646.65,664.0,
550,France,Desktop,-,2023-08-04,Europe,2640.14,489.0,
551,France,Desktop,-,2023-08-05,Europe,751.6200000000001,44.0,
552,France,Desktop,-,2023-08-06,Europe,664.3999999999997,54.0,
553,France,Desktop,-,2023-08-07,Europe,3540.0299999999997,487.0,
554,France,Desktop,-,2023-08-08,Europe,4229.3,478.0,
555,France,Desktop,-,2023-08-09,Europe,5410.01,495.0,
556,France,Desktop,-,2023-08-10,Europe,2302.14,401.0,
557,France,Desktop,-,2023-08-11,Europe,2043.88,399.0,
558,France,Desktop,-,2023-08-12,Europe,600.67,21.0,
559,France,Desktop,-,2023-08-13,Europe,575.4300000000001,49.0,
560,France,Desktop,-,2023-08-14,Europe,1958.97,297.0,
561,France,Desktop,-,2023-08-15,Europe,1506.88,84.0,
562,France,Desktop,-,2023-08-16,Europe,3191.9500000000003,429.0,
563,France,Desktop,-,2023-08-17,Europe,2705.4800000000005,417.0,
564,France,Desktop,-,2023-08-18,Europe,2422.6000000000013,336.0,
565,France,Desktop,-,2023-08-19,Europe,920.4499999999999,50.0,
566,France,Desktop,-,2023-08-20,Europe,871.4,47.0,
567,France,Desktop,-,2023-08-21,Europe,4706.959999999999,532.0,
568,France,Desktop,-,2023-08-22,Europe,2235.0899999999997,521.0,
569,France,Desktop,-,2023-08-23,Europe,1908.07,465.0,
570,France,Desktop,-,2023-08-24,Europe,1937.5900000000001,585.0,
571,France,Desktop,-,2023-08-25,Europe,1563.1200000000001,471.0,
572,France,Desktop,-,2023-08-26,Europe,396.72,24.0,
573,France,Desktop,-,2023-08-27,Europe,430.92,60.0,
574,France,Desktop,-,2023-08-28,Europe,2171.41,661.0,
575,France,Desktop,-,2023-08-29,Europe,3166.0200000000004,573.0,
576,France,Desktop,-,2023-08-30,Europe,2950.9999999999995,656.0,
577,France,Desktop,-,2023-08-31,Europe,3355.640000000001,710.0,
578,France,Desktop,-,2023-09-01,Europe,4465.4400000000005,555.0,
579,France,Desktop,-,2023-09-02,Europe,865.08,57.0,
580,France,Desktop,-,2023-09-03,Europe,753.32,73.0,
581,France,Desktop,-,2023-09-04,Europe,4139.6900000000005,661.0,
582,France,Desktop,-,2023-09-05,Europe,3859.8799999999997,791.0,
583,France,Desktop,-,2023-09-06,Europe,2656.41,696.0,
584,France,Desktop,-,2023-09-07,Europe,2362.4600000000005,638.0,
585,France,Desktop,-,2023-09-08,Europe,2153.62,592.0,
586,France,Desktop,-,2023-09-09,Europe,461.19000000000005,37.0,
587,France,Desktop,-,2023-09-10,Europe,527.1899999999999,63.0,
588,France,Desktop,-,2023-09-11,Europe,2589.5299999999997,763.0,
589,France,Desktop,-,2023-09-12,Europe,2865.3399999999997,719.0,
590,France,Desktop,-,2023-09-13,Europe,2889.73,755.0,
591,France,Desktop,-,2023-09-14,Europe,2358.8100000000004,805.0,
592,France,Desktop,-,2023-09-15,Europe,2181.91,626.0,
593,France,Desktop,-,2023-09-16,Europe,557.64,33.0,
594,France,Desktop,-,2023-09-17,Europe,501.04999999999995,60.0,
595,France,Desktop,-,2023-09-18,Europe,2390.01,774.0,
