,market,account_type,funnel,periods_for_acc_cal,changepoint_prior_scale,seasonality_prior_scale,holidays_prior_scale,seasonality_mode,input_mode,weekday_or_weekend,include_holiday,covid_year_exclude,covid_year_dummy,anomaly_2021,generic_cost_split,competitor_cost_split,new_confirmed,dec_2022,power,growth,MAPE,period_AE
0,Italy,-,Non_Brand,183,0.05,10.0,10.0,additive,additive,multiplicative,na,False,na,na,additive,additive,na,na,na,linear,26.22,11.07
0,Italy,-,Non_Brand,183,0.05,10.0,10.0,additive,additive,multiplicative,na,False,na,na,na,multiplicative,na,na,na,logistic,150.17,162.42000000000002
0,Italy,-,Non_Brand,183,0.05,10.0,10.0,additive,additive,multiplicative,na,False,na,na,additive,na,na,na,na,logistic,117.69,129.56
0,Italy,-,Non_Brand,183,0.05,10.0,10.0,additive,additive,multiplicative,na,False,na,na,additive,additive,na,na,na,logistic,110.09,124.76
0,Italy,-,Non_Brand,183,0.05,10.0,10.0,additive,additive,multiplicative,na,False,na,na,multiplicative,na,na,na,na,linear,22.65,11.85
0,Italy,-,Non_Brand,183,0.05,10.0,10.0,additive,additive,multiplicative,na,False,na,na,additive,multiplicative,na,na,na,logistic,135.39,145.11
0,Italy,-,Non_Brand,183,0.05,10.0,10.0,additive,additive,multiplicative,na,False,na,na,multiplicative,na,na,na,na,logistic,150.23,162.46
0,Italy,-,Non_Brand,183,0.05,10.0,10.0,additive,additive,multiplicative,na,False,na,na,additive,multiplicative,na,na,na,linear,90.5,90.36999999999999
0,Italy,-,Non_Brand,183,0.05,10.0,10.0,additive,additive,multiplicative,na,False,na,na,multiplicative,additive,na,na,na,logistic,135.39,145.11
0,Italy,-,Non_Brand,183,0.05,10.0,10.0,additive,additive,multiplicative,na,False,na,na,multiplicative,multiplicative,na,na,na,linear,22.38,11.44
0,Italy,-,Non_Brand,183,0.05,10.0,10.0,additive,additive,multiplicative,default,False,na,na,na,na,na,na,na,linear,19.46,8.450000000000001
0,Italy,-,Non_Brand,183,0.05,10.0,10.0,additive,additive,multiplicative,na,False,na,na,multiplicative,additive,na,na,na,linear,90.58,90.42999999999999
0,Italy,-,Non_Brand,183,0.05,10.0,10.0,additive,additive,multiplicative,na,False,na,na,multiplicative,multiplicative,na,na,na,logistic,140.86,140.07
0,Italy,-,Non_Brand,183,0.05,10.0,10.0,additive,additive,multiplicative,default,False,na,na,na,additive,na,na,na,linear,18.3,11.81
0,Italy,-,Non_Brand,183,0.05,10.0,10.0,additive,additive,multiplicative,default,False,na,na,na,na,na,na,na,logistic,125.05,113.80999999999999
0,Italy,-,Non_Brand,183,0.05,10.0,10.0,additive,additive,multiplicative,default,False,na,na,na,multiplicative,na,na,na,linear,20.91,11.34
0,Italy,-,Non_Brand,183,0.05,10.0,10.0,additive,additive,multiplicative,default,False,na,na,na,additive,na,na,na,logistic,110.64,126.03999999999999
0,Italy,-,Non_Brand,183,0.05,10.0,10.0,additive,additive,multiplicative,default,False,na,na,additive,na,na,na,na,linear,26.09,11.28
0,Italy,-,Non_Brand,183,0.05,10.0,10.0,additive,additive,multiplicative,default,False,na,na,na,multiplicative,na,na,na,logistic,129.93,150.82999999999998
0,Italy,-,Non_Brand,183,0.05,10.0,10.0,additive,additive,multiplicative,default,False,na,na,additive,additive,na,na,na,linear,21.18,11.57
0,Italy,-,Non_Brand,183,0.05,10.0,10.0,additive,additive,multiplicative,default,False,na,na,additive,na,na,na,na,logistic,110.79,126.14000000000001
0,Italy,-,Non_Brand,183,0.05,10.0,10.0,additive,additive,multiplicative,default,False,na,na,multiplicative,na,na,na,na,linear,20.83,11.95
0,Italy,-,Non_Brand,183,0.05,10.0,10.0,additive,additive,multiplicative,default,False,na,na,additive,additive,na,na,na,logistic,123.08,115.68
0,Italy,-,Non_Brand,183,0.05,10.0,10.0,additive,additive,multiplicative,default,False,na,na,additive,multiplicative,na,na,na,logistic,142.82,140.68
0,Italy,-,Non_Brand,183,0.05,10.0,10.0,additive,additive,multiplicative,default,False,na,na,multiplicative,na,na,na,na,logistic,129.93,150.82999999999998
0,Italy,-,Non_Brand,183,0.05,10.0,10.0,additive,additive,multiplicative,default,False,na,na,additive,multiplicative,na,na,na,linear,91.35,90.77
0,Italy,-,Non_Brand,183,0.05,10.0,10.0,additive,additive,multiplicative,default,False,na,na,multiplicative,additive,na,na,na,logistic,142.82,140.68
0,Italy,-,Non_Brand,183,0.05,10.0,10.0,additive,additive,multiplicative,default,False,na,na,multiplicative,multiplicative,na,na,na,linear,19.61,9.32
0,Italy,-,Non_Brand,183,0.05,10.0,10.0,additive,multiplicative,na,na,False,na,na,na,na,na,na,na,linear,47.29,38.89
0,Italy,-,Non_Brand,183,0.05,10.0,10.0,additive,additive,multiplicative,default,False,na,na,multiplicative,additive,na,na,na,linear,91.06,90.79
0,Italy,-,Non_Brand,183,0.05,10.0,10.0,additive,multiplicative,na,na,False,na,na,na,additive,na,na,na,linear,67.17,61.68
0,Italy,-,Non_Brand,183,0.05,10.0,10.0,additive,additive,multiplicative,default,False,na,na,multiplicative,multiplicative,na,na,na,logistic,134.18,139.05
0,Italy,-,Non_Brand,183,0.05,10.0,10.0,additive,multiplicative,na,na,False,na,na,na,na,na,na,na,logistic,266.33,162.28
0,Italy,-,Non_Brand,183,0.05,10.0,10.0,additive,multiplicative,na,na,False,na,na,na,multiplicative,na,na,na,linear,47.73,40.36
0,Italy,-,Non_Brand,183,0.05,10.0,10.0,additive,multiplicative,na,na,False,na,na,na,additive,na,na,na,logistic,264.39,159.54
