,ds,region,market,account_type,funnel,Identifier,X,y,new_funnel,generic_cost,competitor_cost,generic_cost_split,competitor_cost_split,Weekend,anomaly_2021,covid_year_dummy,weekday_or_weekend,Nov_Dec_2018,Jul_Dec_2019,Mar_2018,Apr_2019,May_2019,Account Type,AOV,ROAS,Month of Ds,floor,cap,new_confirmed
62,2017-08-16,Europe,France,-,Non_Brand,L,1251.9600088447332,8.0,0,1251.9600088447332,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,-,31.04,5.57,August,0,224.65906086550143,0
63,2017-08-16,Europe,Germany,-,Brand,L,457.1800003591936,1988.0,0,0.0,0.0,0.5,0.5,0,0,0,0,0,0,0,0,0,-,24.69,8.13,August,0,150.5416526091634,0
64,2017-08-16,Europe,Italy,-,Brand,L,49.41000103950501,166.0,0,0.0,0.0,0.5,0.5,0,0,0,0,0,0,0,0,0,-,37.09,12.42,August,0,16.545489698319013,0
65,2017-08-16,Europe,Italy,-,Non_Brand,L,541.3599963784218,3.0,0,541.3599963784218,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,-,41.72,11.79,August,0,152.98740070233922,0
66,2017-08-16,Europe,Poland,-,Brand,L,36.67999925091865,1432.0,0,0.0,0.0,0.5,0.5,0,0,0,0,0,0,0,0,0,-,20.26,34.73,August,0,62.877412338815624,0
67,2017-08-16,Europe,Poland,-,Non_Brand,L,114.93999794870615,21.0,0,114.93999794870615,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,-,19.2,14.67,August,0,87.8213421826833,0
68,2017-08-16,Europe,UK,-,Brand,L,2754.79992217198,1233.0,0,0.0,0.0,0.5,0.5,0,0,0,0,0,0,0,0,0,-,23.16,6.01,August,0,714.8682008745078,0
69,2017-08-16,Europe,UK,-,Non_Brand,L,1225.9199981689453,20.0,0,1225.9199981689453,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,-,24.36,5.37,August,0,270.24591092640543,0
70,2017-08-17,Europe,SM,-,-,S,2175.2600001096725,419.0,BrandNon_BrandBrandBrandBrandNon_BrandBrandBrandNon_Brand,0.0,0.0,0.5,0.5,0,0,0,0,0,0,0,0,0,-,76.01,28.37,August,0,811.8948322998475,0
71,2017-08-17,Europe,France,-,Brand,L,164.28000047057867,339.0,0,0.0,0.0,0.5,0.5,0,0,0,0,0,0,0,0,0,-,35.97,7.83,August,0,35.76070068625607,0
72,2017-08-17,Europe,France,-,Non_Brand,L,1276.3099893927574,8.0,0,1276.3099893927574,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,-,31.04,5.57,August,0,229.02856446255345,0
73,2017-08-17,Europe,Germany,-,Brand,L,518.3899951726191,2001.0,0,0.0,0.0,0.5,0.5,0,0,0,0,0,0,0,0,0,-,24.69,8.13,August,0,170.69707009936792,0
74,2017-08-17,Europe,Italy,-,Brand,L,55.439998388290405,134.0,0,0.0,0.0,0.5,0.5,0,0,0,0,0,0,0,0,0,-,37.09,12.42,August,0,18.564701536332347,0
75,2017-08-17,Europe,Italy,-,Non_Brand,L,546.6900010108948,2.0,0,546.6900010108948,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,-,41.72,11.79,August,0,154.49365081300215,0
76,2017-08-17,Europe,Poland,-,Brand,L,38.52999912016097,1281.0,0,0.0,0.0,0.5,0.5,0,0,0,0,0,0,0,0,0,-,20.26,34.73,August,0,66.04871023905184,0
77,2017-08-17,Europe,Poland,-,Non_Brand,L,119.49000005424023,24.0,0,119.49000005424023,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,-,19.2,14.67,August,0,91.29782816644293,0
78,2017-08-17,Europe,UK,-,Brand,L,2527.670020490883,1004.0,0,0.0,0.0,0.5,0.5,0,0,0,0,0,0,0,0,0,-,23.16,6.01,August,0,655.9281875280745,0
79,2017-08-17,Europe,UK,-,Non_Brand,L,1170.8299900889397,11.0,0,1170.8299900889397,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,-,24.36,5.37,August,0,258.1016850072909,0
80,2017-08-18,Europe,SM,-,-,S,1923.659998897463,279.0,BrandNon_BrandBrandBrandBrandNon_BrandBrandBrandNon_Brand,0.0,0.0,0.5,0.5,0,0,0,0,0,0,0,0,0,-,76.01,28.37,August,0,717.9875564888965,0
81,2017-08-18,Europe,France,-,Brand,L,141.93999987840652,1.0,0,0.0,0.0,0.5,0.5,0,0,0,0,0,0,0,0,0,-,35.97,7.83,August,0,30.89769805526614,0
82,2017-08-18,Europe,France,-,Non_Brand,L,1128.0499909222126,1.0,0,1128.0499909222126,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,-,31.04,5.57,August,0,202.42391911845118,0
83,2017-08-18,Europe,Germany,-,Brand,L,380.7800039499998,161.0,0,0.0,0.0,0.5,0.5,0,0,0,0,0,0,0,0,0,-,24.69,8.13,August,0,125.38442414392462,0
84,2017-08-18,Europe,Italy,-,Brand,L,38.55999982357025,2.0,0,0.0,0.0,0.5,0.5,0,0,0,0,0,0,0,0,0,-,37.09,12.42,August,0,12.912245829300147,0
85,2017-08-18,Europe,Italy,-,Non_Brand,L,464.2500025033951,2.0,0,464.2500025033951,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,-,41.72,11.79,August,0,131.19624950898915,0
86,2017-08-18,Europe,Poland,-,Brand,L,35.72000033967197,1.0,0,0.0,0.0,0.5,0.5,0,0,0,0,0,0,0,0,0,-,20.26,34.73,August,0,61.23176761089868,0
87,2017-08-18,Europe,Poland,-,Non_Brand,L,109.99000067263842,24.0,0,109.99000067263842,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,-,19.2,14.67,August,0,84.0392348889378,0
88,2017-08-18,Europe,UK,-,Brand,L,2203.0000056996937,10.0,0,0.0,0.0,0.5,0.5,0,0,0,0,0,0,0,0,0,-,23.16,6.01,August,0,571.6765990611035,0
89,2017-08-18,Europe,UK,-,Non_Brand,L,1088.4999960660934,11.0,0,1088.4999960660934,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,-,24.36,5.37,August,0,239.95258533969303,0
90,2017-08-19,Europe,SM,-,-,S,0.0,36.0,BrandNon_BrandBrandBrandBrandBrandBrand,0.0,0.0,0.5,0.5,1,0,0,1,0,0,0,0,0,-,76.01,28.37,August,0,451.50402194122034,0
91,2017-08-19,Europe,France,-,Brand,L,0.0,7.0,0,0.0,0.0,0.5,0.5,1,0,0,1,0,0,0,0,0,-,35.97,7.83,August,0,451.50402194122034,0
92,2017-08-19,Europe,France,-,Non_Brand,L,0.0,1.0,0,0.0,0.0,0.5,0.5,1,0,0,1,0,0,0,0,0,-,31.04,5.57,August,0,451.50402194122034,0
93,2017-08-19,Europe,Germany,-,Brand,L,0.0,57.0,0,0.0,0.0,0.5,0.5,1,0,0,1,0,0,0,0,0,-,24.69,8.13,August,0,451.50402194122034,0
94,2017-08-19,Europe,Italy,-,Brand,L,0.0,8.0,0,0.0,0.0,0.5,0.5,1,0,0,1,0,0,0,0,0,-,37.09,12.42,August,0,451.50402194122034,0
95,2017-08-19,Europe,Italy,-,Non_Brand,L,0.0,1.0,0,0.0,0.0,0.5,0.5,1,0,0,1,0,0,0,0,0,-,41.72,11.79,August,0,451.50402194122034,0
96,2017-08-19,Europe,Poland,-,Brand,L,0.0,28.0,0,0.0,0.0,0.5,0.5,1,0,0,1,0,0,0,0,0,-,20.26,34.73,August,0,451.50402194122034,0
97,2017-08-19,0,Poland,-,Non_Brand,L,0.0,0.0,0,0.0,0.0,0.5,0.5,1,0,0,1,0,0,0,0,0,-,19.2,14.67,August,0,451.50402194122034,0
98,2017-08-19,Europe,UK,-,Brand,L,0.0,37.0,0,0.0,0.0,0.5,0.5,1,0,0,1,0,0,0,0,0,-,23.16,6.01,August,0,451.50402194122034,0
99,2017-08-19,Europe,UK,-,Non_Brand,L,0.0,11.0,0,0.0,0.0,0.5,0.5,1,0,0,1,0,0,0,0,0,-,24.36,5.37,August,0,451.50402194122034,0
100,2017-08-20,Europe,SM,-,-,S,0.0,15.0,BrandBrandBrandBrand,0.0,0.0,0.5,0.5,1,0,0,1,0,0,0,0,0,-,76.01,28.37,August,0,451.50402194122034,0
101,2017-08-20,Europe,France,-,Brand,L,0.0,2.0,0,0.0,0.0,0.5,0.5,1,0,0,1,0,0,0,0,0,-,35.97,7.83,August,0,451.50402194122034,0
102,2017-08-20,0,France,-,Non_Brand,L,0.0,0.0,0,0.0,0.0,0.5,0.5,1,0,0,1,0,0,0,0,0,-,31.04,5.57,August,0,451.50402194122034,0
103,2017-08-20,Europe,Germany,-,Brand,L,2.950000047683716,174.0,0,0.0,0.0,0.5,0.5,1,0,0,1,0,0,0,0,0,-,24.69,8.13,August,0,0.9713851918861325,0
104,2017-08-20,Europe,Italy,-,Brand,L,0.0,3.0,0,0.0,0.0,0.5,0.5,1,0,0,1,0,0,0,0,0,-,37.09,12.42,August,0,451.50402194122034,0
105,2017-08-20,Europe,Italy,-,Non_Brand,L,0.0,1.0,0,0.0,0.0,0.5,0.5,1,0,0,1,0,0,0,0,0,-,41.72,11.79,August,0,451.50402194122034,0
106,2017-08-20,Europe,Poland,-,Brand,L,0.0,65.0,0,0.0,0.0,0.5,0.5,1,0,0,1,0,0,0,0,0,-,20.26,34.73,August,0,451.50402194122034,0
107,2017-08-20,Europe,Poland,-,Non_Brand,L,0.0,24.0,0,0.0,0.0,0.5,0.5,1,0,0,1,0,0,0,0,0,-,19.2,14.67,August,0,451.50402194122034,0
108,2017-08-20,Europe,UK,-,Brand,L,0.0,20.0,0,0.0,0.0,0.5,0.5,1,0,0,1,0,0,0,0,0,-,23.16,6.01,August,0,451.50402194122034,0
109,2017-08-20,Europe,UK,-,Non_Brand,L,0.0,10.0,0,0.0,0.0,0.5,0.5,1,0,0,1,0,0,0,0,0,-,24.36,5.37,August,0,451.50402194122034,0
110,2017-08-21,Europe,SM,-,-,S,2388.369998089969,485.0,BrandNon_BrandBrandBrandBrandNon_BrandBrandNon_BrandBrandBrandNon_BrandBrand,0.0,0.0,0.5,0.5,0,0,0,0,0,0,0,0,0,-,76.01,28.37,August,0,891.4360853284098,0
111,2017-08-21,Europe,France,-,Brand,L,221.51000572927305,467.0,0,0.0,0.0,0.5,0.5,0,0,0,0,0,0,0,0,0,-,35.97,7.83,August,0,48.218608419800056,0
112,2017-08-21,Europe,France,-,Non_Brand,L,1406.3500004857779,4.0,0,1406.3500004857779,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,-,31.04,5.57,August,0,252.36370820572756,0
113,2017-08-21,Europe,Germany,-,Brand,L,504.9299936722955,1918.0,0,0.0,0.0,0.5,0.5,0,0,0,0,0,0,0,0,0,-,24.69,8.13,August,0,166.2649189370499,0
114,2017-08-21,Europe,Italy,-,Brand,L,70.30000209808348,312.0,0,0.0,0.0,0.5,0.5,0,0,0,0,0,0,0,0,0,-,37.09,12.42,August,0,23.5407394461633,0
115,2017-08-21,Europe,Italy,-,Non_Brand,L,258.39999866485596,10.0,0,258.39999866485596,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,-,41.72,11.79,August,0,73.02339367829941,0
116,2017-08-21,Europe,Poland,-,Brand,L,46.15999978967009,1360.0,0,0.0,0.0,0.5,0.5,0,0,0,0,0,0,0,0,0,-,20.26,34.73,August,0,79.12817338081155,0
117,2017-08-21,Europe,Poland,-,Non_Brand,L,117.77999910712242,9.0,0,117.77999910712242,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,-,19.2,14.67,August,0,89.99128056778572,0
118,2017-08-21,Europe,UK,-,Brand,L,2432.440064180645,1026.0,0,0.0,0.0,0.5,0.5,0,0,0,0,0,0,0,0,0,-,23.16,6.01,August,0,631.2160961021449,0
119,2017-08-21,Europe,UK,-,Non_Brand,L,1732.6800052523615,20.0,0,1732.6800052523615,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,-,24.36,5.37,August,0,381.9577844090797,0
120,2017-08-22,Europe,SM,-,-,S,2295.259993020445,584.0,BrandNon_BrandBrandBrandBrandNon_BrandBrandNon_BrandBrandBrandNon_BrandBrand,0.0,0.0,0.5,0.5,0,0,0,0,0,0,0,0,0,-,76.01,28.37,August,0,856.6836732270757,0
121,2017-08-22,Europe,France,-,Brand,L,202.11000356264404,444.0,0,0.0,0.0,0.5,0.5,0,0,0,0,0,0,0,0,0,-,35.97,7.83,August,0,43.995588765513006,0
122,2017-08-22,Europe,France,-,Non_Brand,L,1459.9500084519386,14.0,0,1459.9500084519386,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,-,31.04,5.57,August,0,261.98200860429444,0
123,2017-08-22,Europe,Germany,-,Brand,L,534.0599969699969,1817.0,0,0.0,0.0,0.5,0.5,0,0,0,0,0,0,0,0,0,-,24.69,8.13,August,0,175.8569370338629,0
124,2017-08-22,Europe,Italy,-,Brand,L,66.28999936580655,299.0,0,0.0,0.0,0.5,0.5,0,0,0,0,0,0,0,0,0,-,37.09,12.42,August,0,22.19794532551408,0
125,2017-08-22,Europe,Italy,-,Non_Brand,L,202.60000056028366,3.0,0,202.60000056028366,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,-,41.72,11.79,August,0,57.25441051308112,0
126,2017-08-22,Europe,Poland,-,Brand,L,52.31999955885106,1439.0,0,0.0,0.0,0.5,0.5,0,0,0,0,0,0,0,0,0,-,20.26,34.73,August,0,89.68773863173233,0
127,2017-08-22,Europe,Poland,-,Non_Brand,L,120.09999876469374,8.0,0,120.09999876469374,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,-,19.2,14.67,August,0,91.7639053061488,0
128,2017-08-22,Europe,UK,-,Brand,L,2686.180052757264,1106.0,0,0.0,0.0,0.5,0.5,0,0,0,0,0,0,0,0,0,-,23.16,6.01,August,0,697.0614040186164,0
129,2017-08-22,Europe,UK,-,Non_Brand,L,1561.0600119829178,13.0,0,1561.0600119829178,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,-,24.36,5.37,August,0,344.125298208057,0
130,2017-08-23,Europe,SM,-,-,S,2229.510005986318,487.0,BrandNon_BrandBrandBrandBrandNon_BrandBrandNon_BrandBrandBrandNon_BrandBrand,0.0,0.0,0.5,0.5,0,0,0,0,0,0,0,0,0,-,76.01,28.37,August,0,832.1431241919727,0
131,2017-08-23,Europe,France,-,Brand,L,211.18000126630085,459.0,0,0.0,0.0,0.5,0.5,0,0,0,0,0,0,0,0,0,-,35.97,7.83,August,0,45.969958574232294,0
132,2017-08-23,Europe,France,-,Non_Brand,L,1416.0899842083454,7.0,0,1416.0899842083454,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,-,31.04,5.57,August,0,254.11150811986099,0
