,market,account_type,funnel,periods_for_acc_cal,changepoint_prior_scale,seasonality_prior_scale,holidays_prior_scale,seasonality_mode,input_mode,weekday_or_weekend,include_holiday,covid_year_exclude,covid_year_dummy,anomaly_2021,generic_cost_split,competitor_cost_split,new_confirmed,nov_dec_2018,jul_dec_2019,power,growth,MAPE,period_AE
0,Poland,-,Non_Brand,183,0.1,10.0,10.0,multiplicative,additive,additive,default,False,na,na,na,additive,na,na,na,na,logistic,150.53,87.19
0,Poland,-,Non_Brand,183,0.1,10.0,10.0,multiplicative,additive,additive,default,False,na,na,na,multiplicative,na,na,na,na,linear,47.8,56.75
0,Poland,-,Non_Brand,183,0.1,10.0,10.0,multiplicative,additive,additive,default,False,na,na,na,multiplicative,na,na,na,na,logistic,162.99,93.95
0,Poland,-,Non_Brand,183,0.1,10.0,10.0,multiplicative,additive,additive,default,False,na,na,additive,na,na,na,na,na,linear,44.79,51.62
0,Poland,-,Non_Brand,183,0.1,10.0,10.0,multiplicative,additive,additive,default,False,na,na,additive,na,na,na,na,na,logistic,150.9,87.52
0,Poland,-,Non_Brand,183,0.1,10.0,10.0,multiplicative,additive,additive,default,False,na,na,additive,additive,na,na,na,na,linear,44.56,51.349999999999994
0,Poland,-,Non_Brand,183,0.1,10.0,10.0,multiplicative,additive,additive,default,False,na,na,additive,additive,na,na,na,na,logistic,148.24,85.22999999999999
0,Poland,-,Non_Brand,183,0.1,10.0,10.0,multiplicative,additive,additive,default,False,na,na,additive,multiplicative,na,na,na,na,linear,52.31,60.57
0,Poland,-,Non_Brand,183,0.1,10.0,10.0,multiplicative,additive,additive,default,False,na,na,additive,multiplicative,na,na,na,na,logistic,156.92,92.82000000000001
0,Poland,-,Non_Brand,183,0.1,10.0,10.0,multiplicative,additive,additive,default,False,na,na,multiplicative,na,na,na,na,na,linear,48.49,57.50999999999999
0,Poland,-,Non_Brand,183,0.1,10.0,10.0,multiplicative,additive,additive,default,False,na,na,multiplicative,na,na,na,na,na,logistic,150.94,83.16
0,Poland,-,Non_Brand,183,0.1,10.0,10.0,multiplicative,additive,additive,default,False,na,na,multiplicative,additive,na,na,na,na,linear,51.49,59.86
0,Poland,-,Non_Brand,183,0.1,10.0,10.0,multiplicative,additive,additive,default,False,na,na,multiplicative,multiplicative,na,na,na,na,linear,47.42,56.06
0,Poland,-,Non_Brand,183,0.1,10.0,10.0,multiplicative,additive,additive,default,False,na,na,multiplicative,additive,na,na,na,na,logistic,153.95,90.23
0,Poland,-,Non_Brand,183,0.1,10.0,10.0,multiplicative,additive,additive,default,False,na,na,multiplicative,multiplicative,na,na,na,na,logistic,152.4,84.56
0,Poland,-,Non_Brand,183,0.1,10.0,10.0,multiplicative,additive,multiplicative,na,False,na,na,na,na,na,na,na,na,logistic,100.1,35.27
0,Poland,-,Non_Brand,183,0.1,10.0,10.0,multiplicative,additive,multiplicative,na,False,na,na,na,na,na,na,na,na,linear,57.23,64.9
0,Poland,-,Non_Brand,183,0.1,10.0,10.0,multiplicative,additive,multiplicative,na,False,na,na,na,additive,na,na,na,na,linear,47.09,56.42
0,Poland,-,Non_Brand,183,0.1,10.0,10.0,multiplicative,additive,multiplicative,na,False,na,na,na,additive,na,na,na,na,logistic,112.96,54.82
0,Poland,-,Non_Brand,183,0.1,10.0,10.0,multiplicative,additive,multiplicative,na,False,na,na,na,multiplicative,na,na,na,na,linear,50.98,59.48
0,Poland,-,Non_Brand,183,0.1,10.0,10.0,multiplicative,additive,multiplicative,na,False,na,na,na,multiplicative,na,na,na,na,logistic,112.91,49.220000000000006
0,Poland,-,Non_Brand,183,0.1,10.0,10.0,multiplicative,additive,multiplicative,na,False,na,na,additive,na,na,na,na,na,logistic,115.09,56.68
0,Poland,-,Non_Brand,183,0.1,10.0,10.0,multiplicative,additive,multiplicative,na,False,na,na,additive,na,na,na,na,na,linear,48.28,57.47
0,Poland,-,Non_Brand,183,0.1,10.0,10.0,multiplicative,additive,multiplicative,na,False,na,na,additive,additive,na,na,na,na,linear,48.84,58.02
0,Poland,-,Non_Brand,183,0.1,10.0,10.0,multiplicative,additive,multiplicative,na,False,na,na,additive,additive,na,na,na,na,logistic,112.22,54.14
0,Poland,-,Non_Brand,183,0.1,10.0,10.0,multiplicative,additive,multiplicative,na,False,na,na,additive,multiplicative,na,na,na,na,logistic,112.32,54.24
0,Poland,-,Non_Brand,183,0.1,10.0,10.0,multiplicative,additive,multiplicative,na,False,na,na,additive,multiplicative,na,na,na,na,linear,57.44,64.75
0,Poland,-,Non_Brand,183,0.1,10.0,10.0,multiplicative,additive,multiplicative,na,False,na,na,multiplicative,na,na,na,na,na,logistic,109.31,45.01
0,Poland,-,Non_Brand,183,0.1,10.0,10.0,multiplicative,additive,multiplicative,na,False,na,na,multiplicative,na,na,na,na,na,linear,52.86,61.09
0,Poland,-,Non_Brand,183,0.1,10.0,10.0,multiplicative,additive,multiplicative,na,False,na,na,multiplicative,additive,na,na,na,na,linear,57.27,64.55
0,Poland,-,Non_Brand,183,0.1,10.0,10.0,multiplicative,additive,multiplicative,na,False,na,na,multiplicative,additive,na,na,na,na,logistic,112.6,54.39000000000001
0,Poland,-,Non_Brand,183,0.1,10.0,10.0,multiplicative,additive,multiplicative,na,False,na,na,multiplicative,multiplicative,na,na,na,na,linear,53.61,61.75000000000001
0,Poland,-,Non_Brand,183,0.1,10.0,10.0,multiplicative,additive,multiplicative,na,False,na,na,multiplicative,multiplicative,na,na,na,na,logistic,111.92,47.78
0,Poland,-,Non_Brand,183,0.1,10.0,10.0,multiplicative,additive,multiplicative,default,False,na,na,na,na,na,na,na,na,logistic,99.19,35.19
