,market,account_type,funnel,ds,region,X,y,weekday_or_weekend,Month of Ds,floor,AOV,ROAS,cap
650,India,Desktop,-,2023-11-12,EMEA,159.03,4.0,1,November,0,103.0434172009,17.6660479749795,27.26454232378128
651,India,Desktop,-,2023-11-13,EMEA,594.13,21.0,0,November,0,103.0434172009,17.6660479749795,101.85928774965836
652,India,Desktop,-,2023-11-14,EMEA,681.6800000000002,52.0,0,November,0,103.0434172009,17.6660479749795,116.86910149830364
653,India,Desktop,-,2023-11-15,EMEA,825.94,102.0,0,November,0,103.0434172009,17.6660479749795,141.60143423821864
654,India,Desktop,-,2023-11-16,EMEA,866.1400000000001,114.0,0,November,0,103.0434172009,17.6660479749795,148.4934332410232
655,India,Desktop,-,2023-11-17,EMEA,830.4699999999999,113.0,0,November,0,103.0434172009,17.6660479749795,142.3780699467436
656,India,Desktop,-,2023-11-18,EMEA,434.95,101.0,1,November,0,103.0434172009,17.6660479749795,74.56902901168752
657,India,Desktop,-,2023-11-19,EMEA,172.05,5.0,1,November,0,103.0434172009,17.6660479749795,29.49672707543589
658,India,Desktop,-,2023-11-20,EMEA,808.28,157.0,0,November,0,103.0434172009,17.6660479749795,138.5737550743
659,India,Desktop,-,2023-11-21,EMEA,1094.09,169.0,0,November,0,103.0434172009,17.6660479749795,187.5738106711052
660,India,Desktop,-,2023-11-22,EMEA,937.1399999999999,175.0,0,November,0,103.0434172009,17.6660479749795,160.66586929075257
661,India,Desktop,-,2023-11-23,EMEA,678.36,157.0,0,November,0,103.0434172009,17.6660479749795,116.2999115309078
662,India,Desktop,-,2023-11-24,EMEA,682.8000000000001,176.0,0,November,0,103.0434172009,17.6660479749795,117.06111739091907
663,India,Desktop,-,2023-11-25,EMEA,472.36999999999995,147.0,1,November,0,103.0434172009,17.6660479749795,80.98441713817871
664,India,Desktop,-,2023-11-26,EMEA,257.27,6.0,1,November,0,103.0434172009,17.6660479749795,44.10707919033647
665,India,Desktop,-,2023-11-27,EMEA,732.62,354.0,0,November,0,103.0434172009,17.6660479749795,125.60239575708131
666,India,Desktop,-,2023-11-28,EMEA,795.6,216.0,0,November,0,103.0434172009,17.6660479749795,136.3998608614751
667,India,Desktop,-,2023-11-29,EMEA,896.09,221.0,0,November,0,103.0434172009,17.6660479749795,153.62814394087383
668,India,Desktop,-,2023-11-30,EMEA,747.8399999999999,191.0,0,November,0,103.0434172009,17.6660479749795,128.21175458351624
669,India,Desktop,-,2023-12-01,EMEA,815.62,163.0,0,December,0,103.0434172009,17.6660479749795,139.83214494197628
670,India,Desktop,-,2023-12-02,EMEA,486.84000000000003,118.0,1,December,0,103.0434172009,17.6660479749795,83.46519389366584
671,India,Desktop,-,2023-12-03,EMEA,225.57,10.0,1,December,0,103.0434172009,17.6660479749795,38.67234365827418
672,India,Desktop,-,2023-12-04,EMEA,817.97,147.0,0,December,0,103.0434172009,17.6660479749795,140.2350354309462
673,India,Desktop,-,2023-12-05,EMEA,904.91,164.0,0,December,0,103.0434172009,17.6660479749795,155.1402690952205
674,India,Desktop,-,2023-12-06,EMEA,1125.44,165.0,0,December,0,103.0434172009,17.6660479749795,192.9485412367252
675,India,Desktop,-,2023-12-07,EMEA,982.01,151.0,0,December,0,103.0434172009,17.6660479749795,168.3585059886591
676,India,Desktop,-,2023-12-08,EMEA,842.1600000000001,171.0,0,December,0,103.0434172009,17.6660479749795,144.3822358259174
677,India,Desktop,-,2023-12-09,EMEA,531.5600000000001,149.0,1,December,0,103.0434172009,17.6660479749795,91.13211417738275
678,India,Desktop,-,2023-12-10,EMEA,243.54999999999998,16.0,1,December,0,103.0434172009,17.6660479749795,41.75488450579721
679,India,Desktop,-,2023-12-11,EMEA,958.78,367.0,0,December,0,103.0434172009,17.6660479749795,164.37589064450114
680,India,Desktop,-,2023-12-12,EMEA,971.99,293.0,0,December,0,103.0434172009,17.6660479749795,166.64064952079588
681,India,Desktop,-,2023-12-13,EMEA,982.8800000000001,179.0,0,December,0,103.0434172009,17.6660479749795,168.5076611909586
682,India,Desktop,-,2023-12-14,EMEA,867.8400000000001,184.0,0,December,0,103.0434172009,17.6660479749795,148.78488593517164
683,India,Desktop,-,2023-12-15,EMEA,924.46,207.0,0,December,0,103.0434172009,17.6660479749795,158.4919750779277
684,India,Desktop,-,2023-12-16,EMEA,399.3,96.0,1,December,0,103.0434172009,17.6660479749795,68.45709457263324
685,India,Desktop,-,2023-12-17,EMEA,225.23000000000002,8.0,1,December,0,103.0434172009,17.6660479749795,38.61405311944449
686,India,Desktop,-,2023-12-18,EMEA,1033.09,200.0,0,December,0,103.0434172009,17.6660479749795,177.1158022340137
687,India,Desktop,-,2023-12-19,EMEA,983.79,192.0,0,December,0,103.0434172009,17.6660479749795,168.66367410370862
688,India,Desktop,-,2023-12-20,EMEA,915.3500000000001,169.0,0,December,0,103.0434172009,17.6660479749795,156.93013152281455
689,India,Desktop,-,2023-12-21,EMEA,912.27,116.0,0,December,0,103.0434172009,17.6660479749795,156.40208781812203
690,India,Desktop,-,2023-12-22,EMEA,866.46,137.0,0,December,0,103.0434172009,17.6660479749795,148.54829492462758
691,India,Desktop,-,2023-12-23,EMEA,509.6600000000001,73.0,1,December,0,103.0434172009,17.6660479749795,87.37751770570566
692,India,Desktop,-,2023-12-24,EMEA,184.92000000000002,5.0,1,December,0,103.0434172009,17.6660479749795,31.70319541290093
693,India,Desktop,-,2023-12-25,EMEA,521.78,27.0,0,December,0,103.0434172009,17.6660479749795,89.45540397222283
694,India,Desktop,-,2023-12-26,EMEA,952.62,112.0,0,December,0,103.0434172009,17.6660479749795,163.31980323511613
695,India,Desktop,-,2023-12-27,EMEA,1013.78,120.0,0,December,0,103.0434172009,17.6660479749795,173.80524251400985
696,India,Desktop,-,2023-12-28,EMEA,1009.1099999999999,158.0,0,December,0,103.0434172009,17.6660479749795,173.00460481890792
697,India,Desktop,-,2023-12-29,EMEA,696.9600000000002,144.0,0,December,0,103.0434172009,17.6660479749795,119.48874689041442
698,India,Desktop,-,2023-12-30,EMEA,510.4799999999999,95.0,1,December,0,103.0434172009,17.6660479749795,87.51810076994192
699,India,Desktop,-,2023-12-31,EMEA,167.90999999999997,10.0,1,December,0,103.0434172009,17.6660479749795,28.78695404380377
700,India,Desktop,-,2024-01-01,EMEA,545.11,28.0,0,January,0,103.0434172009,17.6660479749795,93.45516359250716
701,India,Desktop,-,2024-01-02,EMEA,935.42,128.0,0,January,0,103.0434172009,17.6660479749795,160.37098774137885
702,India,Desktop,-,2024-01-03,EMEA,816.4000000000001,141.0,0,January,0,103.0434172009,17.6660479749795,139.96587029576204
703,India,Desktop,-,2024-01-04,EMEA,1194.52,145.0,0,January,0,103.0434172009,17.6660479749795,204.7918071848281
704,India,Desktop,-,2024-01-05,EMEA,1184.97,188.0,0,January,0,103.0434172009,17.6660479749795,203.15452881475883
705,India,Desktop,-,2024-01-06,EMEA,584.44,122.0,1,January,0,103.0434172009,17.6660479749795,100.1980073930122
706,India,Desktop,-,2024-01-07,EMEA,264.34999999999997,6.0,1,January,0,103.0434172009,17.6660479749795,45.32089394008414
707,India,Desktop,-,2024-01-08,EMEA,1447.9800000000002,161.0,0,January,0,103.0434172009,17.6660479749795,248.24568945474957
708,India,Desktop,-,2024-01-09,EMEA,1629.8399999999997,175.0,0,January,0,103.0434172009,17.6660479749795,279.42427001818317
709,India,Desktop,-,2024-01-10,EMEA,1400.84,227.0,0,January,0,103.0434172009,17.6660479749795,240.16387768877422
710,India,Desktop,-,2024-01-11,EMEA,1447.1,161.0,0,January,0,103.0434172009,17.6660479749795,248.09481982483737
711,India,Desktop,-,2024-01-12,EMEA,1309.6599999999999,213.0,0,January,0,103.0434172009,17.6660479749795,224.53172671674142
712,India,Desktop,-,2024-01-13,EMEA,640.25,120.0,1,January,0,103.0434172009,17.6660479749795,109.76622789914458
713,India,Desktop,-,2024-01-14,EMEA,463.97999999999996,2.0,1,January,0,103.0434172009,17.6660479749795,79.54601237117546
714,India,Desktop,-,2024-01-15,EMEA,1510.71,175.0,0,January,0,103.0434172009,17.6660479749795,259.0002938688274
715,India,Desktop,-,2024-01-16,EMEA,1165.5299999999997,144.0,0,January,0,103.0434172009,17.6660479749795,199.82168153579062
716,India,Desktop,-,2024-01-17,EMEA,2117.8599999999997,169.0,0,January,0,103.0434172009,17.6660479749795,363.0917663701403
717,India,Desktop,-,2024-01-18,EMEA,3334.16,208.0,0,January,0,103.0434172009,17.6660479749795,571.6175968952939
718,India,Desktop,-,2024-01-19,EMEA,3084.7200000000003,237.0,0,January,0,103.0434172009,17.6660479749795,528.852914525653
719,India,Desktop,-,2024-01-20,EMEA,1929.9100000000003,107.0,1,January,0,103.0434172009,17.6660479749795,330.8690993906102
720,India,Desktop,-,2024-01-21,EMEA,689.48,16.0,1,January,0,103.0434172009,17.6660479749795,118.2063550361612
721,India,Desktop,-,2024-01-22,EMEA,3208.1800000000003,180.0,0,January,0,103.0434172009,17.6660479749795,550.0192378312811
722,India,Desktop,-,2024-01-23,EMEA,1783.7599999999998,198.0,0,January,0,103.0434172009,17.6660479749795,305.81273983190647
