ds,region,market,account_type,funnel,Identifier,X,new_funnel,generic_cost,competitor_cost,generic_cost_split,competitor_cost_split,Weekend,Month,Year,Mexico_-_Brand_Apr_2024,Mexico_-_Brand_Aug_2024,Mexico_-_Brand_Dec_2024,Mexico_-_Brand_Jul_2024,Mexico_-_Brand_Jun_2024,Mexico_-_Brand_May_2024,Mexico_-_Brand_Nov_2024,Mexico_-_Brand_Oct_2024,Mexico_-_Brand_Sep_2024,Mexico_-_Non_Brand_Apr_2024,Mexico_-_Non_Brand_Aug_2024,Mexico_-_Non_Brand_Dec_2024,Mexico_-_Non_Brand_Jul_2024,Mexico_-_Non_Brand_Jun_2024,Mexico_-_Non_Brand_May_2024,Mexico_-_Non_Brand_Nov_2024,Mexico_-_Non_Brand_Oct_2024,Mexico_-_Non_Brand_Sep_2024,AOV,ROAS
2024-05-08,LATAM,Mexico,-,Non_Brand,L,290.18,0,290.18,0.0,1.0,0.0,1,May,2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,290.18,0.0,0.0,0.0,69.4,3.79
2024-05-09,LATAM,Mexico,-,Brand,L,729.9599999999999,0,0.0,0.0,0.5,0.5,1,May,2024,0.0,0.0,0.0,0.0,0.0,729.9599999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.9,20.69
2024-05-09,LATAM,Mexico,-,Non_Brand,L,209.18,0,209.18,0.0,1.0,0.0,1,May,2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,209.18,0.0,0.0,0.0,69.4,3.79
2024-05-10,LATAM,Mexico,-,Brand,L,636.52,0,0.0,0.0,0.5,0.5,1,May,2024,0.0,0.0,0.0,0.0,0.0,636.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.9,20.69
2024-05-10,LATAM,Mexico,-,Non_Brand,L,229.62,0,229.62,0.0,1.0,0.0,1,May,2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,229.62,0.0,0.0,0.0,69.4,3.79
2024-05-11,LATAM,Mexico,-,Brand,L,60.82,0,0.0,0.0,0.5,0.5,1,May,2024,0.0,0.0,0.0,0.0,0.0,60.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.9,20.69
2024-05-11,LATAM,Mexico,-,Non_Brand,L,67.96000000000001,0,67.96000000000001,0.0,1.0,0.0,1,May,2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.96000000000001,0.0,0.0,0.0,69.4,3.79
2024-05-12,LATAM,Mexico,-,Brand,L,42.800000000000004,0,0.0,0.0,0.5,0.5,1,May,2024,0.0,0.0,0.0,0.0,0.0,42.800000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.9,20.69
2024-05-12,LATAM,Mexico,-,Non_Brand,L,51.4,0,51.4,0.0,1.0,0.0,1,May,2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.4,0.0,0.0,0.0,69.4,3.79
2024-05-13,LATAM,Mexico,-,Brand,L,751.94,0,0.0,0.0,0.5,0.5,0,May,2024,0.0,0.0,0.0,0.0,0.0,751.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.9,20.69
