region,market,account_type,funnel,ds,X,y,anomaly_2021,covid_year_dummy,weekday_or_weekend,Nov_Dec_2018,Jul_Dec_2019,Month of Ds,AOV,ROAS
LATAM,Mexico,-,Brand,2018-10-31,3.6100001130253077,4.0,0,0,0,0,0,October,60.9,20.69
LATAM,Mexico,-,Brand,2018-11-01,4.49000003002584,5.0,0,0,0,1,0,November,60.9,20.69
LATAM,Mexico,-,Brand,2018-11-02,2.55999999307096,5.0,0,0,0,1,0,November,60.9,20.69
LATAM,Mexico,-,Brand,2018-11-03,0.019999999552965164,5.0,0,0,1,1,0,November,60.9,20.69
LATAM,Mexico,-,Brand,2018-11-04,0.0,5.0,0,0,1,1,0,November,60.9,20.69
LATAM,Mexico,-,Brand,2018-11-05,5.379999972879887,3.0,0,0,0,1,0,November,60.9,20.69
LATAM,Mexico,-,Brand,2018-11-06,5.340000003576279,6.0,0,0,0,1,0,November,60.9,20.69
LATAM,Mexico,-,Brand,2018-11-07,4.9299999959766865,18.0,0,0,0,1,0,November,60.9,20.69
LATAM,Mexico,-,Brand,2018-11-08,4.859999904409051,5.0,0,0,0,1,0,November,60.9,20.69
LATAM,Mexico,-,Brand,2018-11-09,3.9200000558048487,8.0,0,0,0,1,0,November,60.9,20.69
LATAM,Mexico,-,Brand,2018-11-10,0.0,8.0,0,0,1,1,0,November,60.9,20.69
LATAM,Mexico,-,Brand,2018-11-12,5.389999931678176,5.0,0,0,0,1,0,November,60.9,20.69
LATAM,Mexico,-,Brand,2018-11-13,5.3399998638778925,2.0,0,0,0,1,0,November,60.9,20.69
LATAM,Mexico,-,Brand,2018-11-14,7.089999858289957,5.0,0,0,0,1,0,November,60.9,20.69
LATAM,Mexico,-,Brand,2018-11-15,5.4100000988692045,3.0,0,0,0,1,0,November,60.9,20.69
LATAM,Mexico,-,Brand,2018-11-16,4.320000026375055,2.0,0,0,0,1,0,November,60.9,20.69
LATAM,Mexico,-,Brand,2018-11-17,0.0,2.0,0,0,1,1,0,November,60.9,20.69
LATAM,Mexico,-,Brand,2018-11-18,0.0,2.0,0,0,1,1,0,November,60.9,20.69
LATAM,Mexico,-,Brand,2018-11-19,1.5000000093132257,2.0,0,0,0,1,0,November,60.9,20.69
LATAM,Mexico,-,Brand,2018-11-20,7.579999864101408,12.0,0,0,0,1,0,November,60.9,20.69
LATAM,Mexico,-,Brand,2018-11-21,5.360000055283308,1.0,0,0,0,1,0,November,60.9,20.69
LATAM,Mexico,-,Brand,2018-11-22,4.400000104680657,3.0,0,0,0,1,0,November,60.9,20.69
LATAM,Mexico,-,Brand,2018-11-23,3.950000025331974,1.0,0,0,0,1,0,November,60.9,20.69
LATAM,Mexico,-,Brand,2018-11-24,0.019999999552965164,1.0,0,0,1,1,0,November,60.9,20.69
LATAM,Mexico,-,Brand,2018-11-25,0.0,1.0,0,0,1,1,0,November,60.9,20.69
LATAM,Mexico,-,Brand,2018-11-26,7.269999792799354,9.0,0,0,0,1,0,November,60.9,20.69
LATAM,Mexico,-,Brand,2018-11-27,4.900000002235174,4.0,0,0,0,1,0,November,60.9,20.69
LATAM,Mexico,-,Brand,2018-11-28,6.120000082999468,6.0,0,0,0,1,0,November,60.9,20.69
LATAM,Mexico,-,Brand,2018-11-29,6.940000128000975,21.0,0,0,0,1,0,November,60.9,20.69
LATAM,Mexico,-,Brand,2018-11-30,5.510000029578805,2.0,0,0,0,1,0,November,60.9,20.69
LATAM,Mexico,-,Brand,2018-12-03,1.6100000459700823,12.0,0,0,0,1,0,December,60.9,20.69
LATAM,Mexico,-,Brand,2018-12-04,6.139999872073531,2.0,0,0,0,1,0,December,60.9,20.69
LATAM,Mexico,-,Brand,2018-12-05,5.689999891445041,5.0,0,0,0,1,0,December,60.9,20.69
LATAM,Mexico,-,Brand,2018-12-06,6.020000079646707,1.0,0,0,0,1,0,December,60.9,20.69
LATAM,Mexico,-,Brand,2018-12-07,5.499999998137355,3.0,0,0,0,1,0,December,60.9,20.69
LATAM,Mexico,-,Brand,2018-12-08,0.06999999843537807,3.0,0,0,1,1,0,December,60.9,20.69
LATAM,Mexico,-,Brand,2018-12-09,0.0,3.0,0,0,1,1,0,December,60.9,20.69
LATAM,Mexico,-,Brand,2018-12-10,5.560000134631991,6.0,0,0,0,1,0,December,60.9,20.69
LATAM,Mexico,-,Brand,2018-12-11,5.040000079199672,7.0,0,0,0,1,0,December,60.9,20.69
LATAM,Mexico,-,Brand,2018-12-12,4.2799998968839645,7.0,0,0,0,1,0,December,60.9,20.69
LATAM,Mexico,-,Brand,2018-12-13,3.9500000383704905,6.0,0,0,0,1,0,December,60.9,20.69
LATAM,Mexico,-,Brand,2018-12-14,4.290000077337027,11.0,0,0,0,1,0,December,60.9,20.69
