ds,region,market,account_type,funnel,Identifier,X,new_funnel,generic_cost,competitor_cost,generic_cost_split,competitor_cost_split,Weekend,Month,Year,Canada_-_Brand_Apr_2024,Canada_-_Brand_Aug_2024,Canada_-_Brand_Dec_2024,Canada_-_Brand_Jul_2024,Canada_-_Brand_Jun_2024,Canada_-_Brand_May_2024,Canada_-_Brand_Nov_2024,Canada_-_Brand_Oct_2024,Canada_-_Brand_Sep_2024,Canada_-_Non_Brand_Apr_2024,Canada_-_Non_Brand_Aug_2024,Canada_-_Non_Brand_Dec_2024,Canada_-_Non_Brand_Jul_2024,Canada_-_Non_Brand_Jun_2024,Canada_-_Non_Brand_May_2024,Canada_-_Non_Brand_Nov_2024,Canada_-_Non_Brand_Oct_2024,Canada_-_Non_Brand_Sep_2024,AOV,ROAS
2024-05-08,Canada,Canada,-,Brand,L,1258.12,0,0.0,0.0,0.5,0.5,1,May,2024,0.0,0.0,0.0,0.0,0.0,1258.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.32,26.36
2024-05-08,Canada,Canada,-,Non_Brand,L,248.36,0,30.65,217.71,0.12340956675793202,0.876590433242068,1,May,2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,248.36,0.0,0.0,0.0,43.89,7.12
2024-05-09,Canada,Canada,-,Brand,L,1476.4899999999998,0,0.0,0.0,0.5,0.5,1,May,2024,0.0,0.0,0.0,0.0,0.0,1476.4899999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.32,26.36
2024-05-09,Canada,Canada,-,Non_Brand,L,312.48999999999995,0,85.85,226.64,0.2747287913213223,0.7252712086786777,1,May,2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,312.48999999999995,0.0,0.0,0.0,43.89,7.12
2024-05-10,Canada,Canada,-,Brand,L,1247.0500000000002,0,0.0,0.0,0.5,0.5,1,May,2024,0.0,0.0,0.0,0.0,0.0,1247.0500000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.32,26.36
2024-05-10,Canada,Canada,-,Non_Brand,L,247.01,0,83.77,163.24,0.3391360673656937,0.6608639326343063,1,May,2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247.01,0.0,0.0,0.0,43.89,7.12
2024-05-11,Canada,Canada,-,Brand,L,702.5399999999997,0,0.0,0.0,0.5,0.5,1,May,2024,0.0,0.0,0.0,0.0,0.0,702.5399999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.32,26.36
2024-05-11,Canada,Canada,-,Non_Brand,L,76.0,0,17.17,58.83,0.22592105263157897,0.7740789473684211,1,May,2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,0.0,0.0,0.0,43.89,7.12
2024-05-12,Canada,Canada,-,Brand,L,663.44,0,0.0,0.0,0.5,0.5,1,May,2024,0.0,0.0,0.0,0.0,0.0,663.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.32,26.36
2024-05-12,Canada,Canada,-,Non_Brand,L,57.8,0,12.03,45.769999999999996,0.20813148788927335,0.7918685121107266,1,May,2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.8,0.0,0.0,0.0,43.89,7.12
2024-05-13,Canada,Canada,-,Brand,L,1432.57,0,0.0,0.0,0.5,0.5,0,May,2024,0.0,0.0,0.0,0.0,0.0,1432.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.32,26.36
2024-05-13,Canada,Canada,-,Non_Brand,L,305.98,0,109.78000000000002,196.20000000000005,0.35878161971370676,0.6412183802862932,0,May,2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,305.98,0.0,0.0,0.0,43.89,7.12
2024-05-14,Canada,Canada,-,Brand,L,1521.8999999999996,0,0.0,0.0,0.5,0.5,0,May,2024,0.0,0.0,0.0,0.0,0.0,1521.8999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.32,26.36
2024-05-14,Canada,Canada,-,Non_Brand,L,314.98999999999995,0,108.27,206.71999999999997,0.3437251976253215,0.6562748023746785,0,May,2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,314.98999999999995,0.0,0.0,0.0,43.89,7.12
2024-05-15,Canada,Canada,-,Brand,L,1378.88,0,0.0,0.0,0.5,0.5,1,May,2024,0.0,0.0,0.0,0.0,0.0,1378.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.32,26.36
2024-05-15,Canada,Canada,-,Non_Brand,L,313.09,0,88.33,224.76,0.2821233511130985,0.7178766488869015,1,May,2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,313.09,0.0,0.0,0.0,43.89,7.12
2024-05-16,Canada,Canada,-,Brand,L,1291.2599999999995,0,0.0,0.0,0.5,0.5,1,May,2024,0.0,0.0,0.0,0.0,0.0,1291.2599999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.32,26.36
2024-05-16,Canada,Canada,-,Non_Brand,L,335.89,0,84.80000000000001,251.09,0.25246360415612257,0.7475363958438774,1,May,2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,335.89,0.0,0.0,0.0,43.89,7.12
2024-05-17,Canada,Canada,-,Brand,L,1227.1,0,0.0,0.0,0.5,0.5,1,May,2024,0.0,0.0,0.0,0.0,0.0,1227.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.32,26.36
