,market,account_type,funnel,ds,region,X,y,key_0,weekday_or_weekend,Month of Ds,floor,AOV,ROAS,cap
129,Germany,Desktop,-,2022-05-10,Europe,4524.09,2005.0,,0,May,0,24.87,3.26,593.025066344994
130,Germany,Desktop,-,2022-05-11,Europe,4154.84,2008.0,,0,May,0,24.87,3.26,544.623176517893
131,Germany,Desktop,-,2022-05-12,Europe,4812.599999999999,2010.0,,0,May,0,24.87,3.26,630.8434258142339
132,Germany,Desktop,-,2022-05-13,Europe,4185.510000000001,1620.0,,0,May,0,24.87,3.26,548.6434499396865
133,Germany,Desktop,-,2022-05-14,Europe,507.43999999999994,63.0,,1,May,0,24.87,3.26,66.51605950944912
134,Germany,Desktop,-,2022-05-15,Europe,486.77,61.0,,1,May,0,24.87,3.26,63.80660233212705
135,Germany,Desktop,-,2022-05-16,Europe,5327.679999999999,2174.0,,0,May,0,24.87,3.26,698.360948934459
136,Germany,Desktop,-,2022-05-17,Europe,6119.610000000001,2204.0,,0,May,0,24.87,3.26,802.1684197828708
137,Germany,Desktop,-,2022-05-18,Europe,5715.35,2145.0,,0,May,0,24.87,3.26,749.1773622838762
138,Germany,Desktop,-,2022-05-19,Europe,5736.149999999999,2074.0,,0,May,0,24.87,3.26,751.9038600723761
139,Germany,Desktop,-,2022-05-20,Europe,5167.539999999999,1866.0,,0,May,0,24.87,3.26,677.3695375954965
140,Germany,Desktop,-,2022-05-21,Europe,595.5,86.0,,1,May,0,24.87,3.26,78.05910735826296
141,Germany,Desktop,-,2022-05-22,Europe,494.76,177.0,,1,May,0,24.87,3.26,64.85394451145957
142,Germany,Desktop,-,2022-05-23,Europe,6538.860000000001,2264.0,,0,May,0,24.87,3.26,857.1243908323281
143,Germany,Desktop,-,2022-05-24,Europe,6345.59,2502.0,,0,May,0,24.87,3.26,831.7902452754322
144,Germany,Desktop,-,2022-05-25,Europe,4142.150000000001,2547.0,,0,May,0,24.87,3.26,542.9597507036591
145,Germany,Desktop,-,2022-05-26,Europe,669.09,76.0,,0,May,0,24.87,3.26,87.7054041013269
146,Germany,Desktop,-,2022-05-27,Europe,2568.26,1253.0,,0,May,0,24.87,3.26,336.65169280257334
147,Germany,Desktop,-,2022-05-28,Europe,343.78000000000003,73.0,,1,May,0,24.87,3.26,45.06324085243265
148,Germany,Desktop,-,2022-05-29,Europe,370.62000000000006,83.0,,1,May,0,24.87,3.26,48.58147165259349
149,Germany,Desktop,-,2022-05-30,Europe,4166.58,2202.0,,0,May,0,24.87,3.26,546.1620747889023
150,Germany,Desktop,-,2022-05-31,Europe,4145.53,2174.0,,0,May,0,24.87,3.26,543.4028065942902
151,Germany,Desktop,-,2022-06-01,Europe,3973.93,2311.0,,0,June,0,24.87,3.26,520.9091998391635
152,Germany,Desktop,-,2022-06-02,Europe,4500.360000000001,2164.0,,0,June,0,24.87,3.26,589.9144993968637
153,Germany,Desktop,-,2022-06-03,Europe,3397.5499999999997,1990.0,,0,June,0,24.87,3.26,445.35637314032965
154,Germany,Desktop,-,2022-06-04,Europe,418.4999999999999,91.0,,1,June,0,24.87,3.26,54.85765983112181
