,market,account_type,funnel,periods_for_acc_cal,changepoint_prior_scale,seasonality_prior_scale,holidays_prior_scale,seasonality_mode,input_mode,weekday_or_weekend,include_holiday,covid_year_exclude,covid_year_dummy,anomaly_2021,generic_cost_split,competitor_cost_split,new_confirmed,anomaly_2022,power,growth,MAPE,period_AE
0,Canada,-,Brand,122,0.5,0.075,10.0,additive,multiplicative,multiplicative,Default,na,na,na,na,na,na,na,na,logistic,40.6,40.72
0,Canada,-,Brand,122,0.5,0.075,10.0,additive,multiplicative,multiplicative,Default,na,na,na,na,na,na,additive,na,logistic,40.6,40.72
0,Canada,-,Brand,122,0.5,0.075,10.0,additive,multiplicative,multiplicative,Default,na,na,na,na,na,na,multiplicative,na,logistic,40.6,40.72
0,Canada,-,Brand,122,0.5,0.075,10.0,additive,multiplicative,multiplicative,Custom,na,na,na,na,na,na,na,na,linear,13.72,11.99
0,Canada,-,Brand,122,0.5,0.075,10.0,additive,multiplicative,multiplicative,Custom,na,na,na,na,na,na,na,na,logistic,40.9,41.05
0,Canada,-,Brand,122,0.5,0.075,10.0,additive,multiplicative,multiplicative,Custom,na,na,na,na,na,na,additive,na,linear,13.72,11.99
0,Canada,-,Brand,122,0.5,0.075,10.0,multiplicative,additive,na,na,na,na,na,na,na,na,na,na,linear,11.88,7.41
0,Canada,-,Brand,122,0.5,0.075,10.0,additive,multiplicative,multiplicative,Custom,na,na,na,na,na,na,multiplicative,na,linear,13.72,11.99
0,Canada,-,Brand,122,0.5,0.075,10.0,additive,multiplicative,multiplicative,Custom,na,na,na,na,na,na,additive,na,logistic,40.9,41.05
0,Canada,-,Brand,122,0.5,0.075,10.0,multiplicative,additive,na,na,na,na,na,na,na,na,additive,na,linear,11.88,7.41
0,Canada,-,Brand,122,0.5,0.075,10.0,additive,multiplicative,multiplicative,Custom,na,na,na,na,na,na,multiplicative,na,logistic,40.9,41.05
0,Canada,-,Brand,122,0.5,0.075,10.0,multiplicative,additive,na,na,na,na,na,na,na,na,multiplicative,na,linear,11.88,7.41
0,Canada,-,Brand,122,0.5,0.075,10.0,multiplicative,additive,na,na,na,na,na,na,na,na,na,na,logistic,7.8,0.4
0,Canada,-,Brand,122,0.5,0.075,10.0,multiplicative,additive,na,Default,na,na,na,na,na,na,na,na,linear,10.56,6.83
0,Canada,-,Brand,122,0.5,0.075,10.0,multiplicative,additive,na,na,na,na,na,na,na,na,additive,na,logistic,7.8,0.4
0,Canada,-,Brand,122,0.5,0.075,10.0,multiplicative,additive,na,na,na,na,na,na,na,na,multiplicative,na,logistic,7.8,0.4
0,Canada,-,Brand,122,0.5,0.075,10.0,multiplicative,additive,na,Default,na,na,na,na,na,na,additive,na,linear,10.56,6.83
0,Canada,-,Brand,122,0.5,0.075,10.0,multiplicative,additive,na,Default,na,na,na,na,na,na,multiplicative,na,linear,10.56,6.83
0,Canada,-,Brand,122,0.5,0.075,10.0,multiplicative,additive,na,Default,na,na,na,na,na,na,na,na,logistic,7.65,2.16
0,Canada,-,Brand,122,0.5,0.075,10.0,multiplicative,additive,na,Default,na,na,na,na,na,na,additive,na,logistic,7.65,2.16
0,Canada,-,Brand,122,0.5,0.075,10.0,multiplicative,additive,na,Default,na,na,na,na,na,na,multiplicative,na,logistic,7.65,2.16
0,Canada,-,Brand,122,0.5,0.075,10.0,multiplicative,additive,na,Custom,na,na,na,na,na,na,na,na,linear,11.24,5.34
0,Canada,-,Brand,122,0.5,0.075,10.0,multiplicative,additive,na,Custom,na,na,na,na,na,na,additive,na,linear,11.24,5.34
0,Canada,-,Brand,122,0.5,0.075,10.0,multiplicative,additive,na,Custom,na,na,na,na,na,na,na,na,logistic,8.4,3.1
0,Canada,-,Brand,122,0.5,0.075,10.0,multiplicative,additive,na,Custom,na,na,na,na,na,na,multiplicative,na,linear,11.24,5.34
0,Canada,-,Brand,122,0.5,0.075,10.0,multiplicative,additive,additive,na,na,na,na,na,na,na,na,na,linear,12.43,8.42
0,Canada,-,Brand,122,0.5,0.075,10.0,multiplicative,additive,na,Custom,na,na,na,na,na,na,additive,na,logistic,8.4,3.1
0,Canada,-,Brand,122,0.5,0.075,10.0,multiplicative,additive,additive,na,na,na,na,na,na,na,additive,na,linear,12.43,8.42
0,Canada,-,Brand,122,0.5,0.075,10.0,multiplicative,additive,additive,na,na,na,na,na,na,na,na,na,logistic,51.23,51.33
0,Canada,-,Brand,122,0.5,0.075,10.0,multiplicative,additive,na,Custom,na,na,na,na,na,na,multiplicative,na,logistic,8.4,3.1
0,Canada,-,Brand,122,0.5,0.075,10.0,multiplicative,additive,additive,na,na,na,na,na,na,na,multiplicative,na,linear,12.43,8.42
0,Canada,-,Brand,122,0.5,0.075,10.0,multiplicative,additive,additive,na,na,na,na,na,na,na,additive,na,logistic,51.23,51.33
0,Canada,-,Brand,122,0.5,0.075,10.0,multiplicative,additive,additive,Default,na,na,na,na,na,na,na,na,linear,11.14,7.84
0,Canada,-,Brand,122,0.5,0.075,10.0,multiplicative,additive,additive,na,na,na,na,na,na,na,multiplicative,na,logistic,51.23,51.33
0,Canada,-,Brand,122,0.5,0.075,10.0,multiplicative,additive,additive,Default,na,na,na,na,na,na,additive,na,linear,11.14,7.84
0,Canada,-,Brand,122,0.5,0.075,10.0,multiplicative,additive,additive,Default,na,na,na,na,na,na,multiplicative,na,linear,11.14,7.84
0,Canada,-,Brand,122,0.5,0.075,10.0,multiplicative,additive,additive,Default,na,na,na,na,na,na,na,na,logistic,49.42,49.47
0,Canada,-,Brand,122,0.5,0.075,10.0,multiplicative,additive,additive,Default,na,na,na,na,na,na,additive,na,logistic,49.42,49.47
0,Canada,-,Brand,122,0.5,0.075,10.0,multiplicative,additive,additive,Default,na,na,na,na,na,na,multiplicative,na,logistic,49.42,49.47
0,Canada,-,Brand,122,0.5,0.075,10.0,multiplicative,additive,additive,Custom,na,na,na,na,na,na,na,na,linear,11.38,6.22
0,Canada,-,Brand,122,0.5,0.075,10.0,multiplicative,additive,additive,Custom,na,na,na,na,na,na,additive,na,linear,11.38,6.22
0,Canada,-,Brand,122,0.5,0.075,10.0,multiplicative,additive,additive,Custom,na,na,na,na,na,na,na,na,logistic,51.7,51.81
0,Canada,-,Brand,122,0.5,0.075,10.0,multiplicative,additive,multiplicative,na,na,na,na,na,na,na,na,na,linear,12.19,7.8
0,Canada,-,Brand,122,0.5,0.075,10.0,multiplicative,additive,additive,Custom,na,na,na,na,na,na,additive,na,logistic,51.7,51.81
0,Canada,-,Brand,122,0.5,0.075,10.0,multiplicative,additive,additive,Custom,na,na,na,na,na,na,multiplicative,na,linear,11.38,6.22
0,Canada,-,Brand,122,0.5,0.075,10.0,multiplicative,additive,multiplicative,na,na,na,na,na,na,na,additive,na,linear,12.19,7.8
0,Canada,-,Brand,122,0.5,0.075,10.0,multiplicative,additive,additive,Custom,na,na,na,na,na,na,multiplicative,na,logistic,51.7,51.81
0,Canada,-,Brand,122,0.5,0.075,10.0,multiplicative,additive,multiplicative,na,na,na,na,na,na,na,na,na,logistic,46.29,46.37
0,Canada,-,Brand,122,0.5,0.075,10.0,multiplicative,additive,multiplicative,na,na,na,na,na,na,na,multiplicative,na,linear,12.19,7.8
0,Canada,-,Brand,122,0.5,0.075,10.0,multiplicative,additive,multiplicative,na,na,na,na,na,na,na,additive,na,logistic,46.29,46.37
0,Canada,-,Brand,122,0.5,0.075,10.0,multiplicative,additive,multiplicative,Default,na,na,na,na,na,na,na,na,linear,11.07,7.55
0,Canada,-,Brand,122,0.5,0.075,10.0,multiplicative,additive,multiplicative,na,na,na,na,na,na,na,multiplicative,na,logistic,46.29,46.37
0,Canada,-,Brand,122,0.5,0.075,10.0,multiplicative,additive,multiplicative,Default,na,na,na,na,na,na,additive,na,linear,11.07,7.55
0,Canada,-,Brand,122,0.5,0.075,10.0,multiplicative,additive,multiplicative,Default,na,na,na,na,na,na,na,na,logistic,46.43,46.489999999999995
0,Canada,-,Brand,122,0.5,0.075,10.0,multiplicative,additive,multiplicative,Default,na,na,na,na,na,na,multiplicative,na,linear,11.07,7.55
0,Canada,-,Brand,122,0.5,0.075,10.0,multiplicative,additive,multiplicative,Default,na,na,na,na,na,na,additive,na,logistic,46.43,46.489999999999995
0,Canada,-,Brand,122,0.5,0.075,10.0,multiplicative,additive,multiplicative,Default,na,na,na,na,na,na,multiplicative,na,logistic,46.43,46.489999999999995
0,Canada,-,Brand,122,0.5,0.075,10.0,multiplicative,additive,multiplicative,Custom,na,na,na,na,na,na,na,na,linear,11.41,5.83
0,Canada,-,Brand,122,0.5,0.075,10.0,multiplicative,additive,multiplicative,Custom,na,na,na,na,na,na,additive,na,linear,11.41,5.83
0,Canada,-,Brand,122,0.5,0.075,10.0,multiplicative,additive,multiplicative,Custom,na,na,na,na,na,na,na,na,logistic,48.19,48.29
