,market,account_type,funnel,periods_for_acc_cal,changepoint_prior_scale,seasonality_prior_scale,holidays_prior_scale,seasonality_mode,input_mode,weekday_or_weekend,include_holiday,covid_year_exclude,covid_year_dummy,anomaly_2021,generic_cost_split,competitor_cost_split,new_confirmed,dec_2022,power,growth,MAPE,period_AE
0,SM,-,-,183,0.1,10.0,10.0,additive,additive,additive,na,False,na,na,na,multiplicative,na,multiplicative,na,logistic,41.48,42.089999999999996
0,SM,-,-,183,0.1,10.0,10.0,additive,additive,additive,na,False,na,na,additive,na,na,additive,na,linear,48.45,49.15
0,SM,-,-,183,0.1,10.0,10.0,additive,additive,additive,na,False,na,na,additive,na,na,multiplicative,na,linear,48.15,48.84
0,SM,-,-,183,0.1,10.0,10.0,additive,additive,additive,na,False,na,na,additive,na,na,na,na,logistic,61.36,62.3
0,SM,-,-,183,0.1,10.0,10.0,additive,additive,additive,na,False,na,na,additive,na,na,additive,na,logistic,60.67,61.61
0,SM,-,-,183,0.1,10.0,10.0,additive,additive,additive,na,False,na,na,additive,additive,na,na,na,linear,49.87,50.54
0,SM,-,-,183,0.1,10.0,10.0,additive,additive,additive,na,False,na,na,additive,na,na,multiplicative,na,logistic,61.43,62.38
0,SM,-,-,183,0.1,10.0,10.0,additive,additive,additive,na,False,na,na,additive,additive,na,additive,na,linear,48.47,49.17
0,SM,-,-,183,0.1,10.0,10.0,additive,additive,additive,na,False,na,na,additive,additive,na,na,na,logistic,61.47,62.419999999999995
0,SM,-,-,183,0.1,10.0,10.0,additive,additive,additive,na,False,na,na,additive,additive,na,multiplicative,na,linear,47.8,48.49
0,SM,-,-,183,0.1,10.0,10.0,additive,additive,additive,na,False,na,na,additive,additive,na,additive,na,logistic,60.58,61.529999999999994
0,SM,-,-,183,0.1,10.0,10.0,additive,additive,additive,na,False,na,na,additive,additive,na,multiplicative,na,logistic,61.35,62.3
0,SM,-,-,183,0.1,10.0,10.0,additive,additive,additive,na,False,na,na,additive,multiplicative,na,na,na,logistic,61.41,62.36000000000001
0,SM,-,-,183,0.1,10.0,10.0,additive,additive,additive,na,False,na,na,additive,multiplicative,na,na,na,linear,47.34,47.43
0,SM,-,-,183,0.1,10.0,10.0,additive,additive,additive,na,False,na,na,additive,multiplicative,na,additive,na,logistic,60.67,61.61
0,SM,-,-,183,0.1,10.0,10.0,additive,additive,additive,na,False,na,na,additive,multiplicative,na,additive,na,linear,46.01,46.07
0,SM,-,-,183,0.1,10.0,10.0,additive,additive,additive,na,False,na,na,additive,multiplicative,na,multiplicative,na,logistic,61.43,62.38
0,SM,-,-,183,0.1,10.0,10.0,additive,additive,additive,na,False,na,na,additive,multiplicative,na,multiplicative,na,linear,46.07,46.22
0,SM,-,-,183,0.1,10.0,10.0,additive,additive,additive,na,False,na,na,multiplicative,na,na,na,na,logistic,61.39,62.339999999999996
0,SM,-,-,183,0.1,10.0,10.0,additive,additive,additive,na,False,na,na,multiplicative,na,na,na,na,linear,47.36,47.46
0,SM,-,-,183,0.1,10.0,10.0,additive,additive,additive,na,False,na,na,multiplicative,na,na,additive,na,logistic,60.93,61.870000000000005
0,SM,-,-,183,0.1,10.0,10.0,additive,additive,additive,na,False,na,na,multiplicative,na,na,additive,na,linear,45.79,45.839999999999996
0,SM,-,-,183,0.1,10.0,10.0,additive,additive,additive,na,False,na,na,multiplicative,na,na,multiplicative,na,linear,46.45,46.63
0,SM,-,-,183,0.1,10.0,10.0,additive,additive,additive,na,False,na,na,multiplicative,na,na,multiplicative,na,logistic,41.48,42.089999999999996
0,SM,-,-,183,0.1,10.0,10.0,additive,additive,additive,na,False,na,na,multiplicative,additive,na,na,na,linear,47.33,47.43
