,ds,region,market,account_type,funnel,Identifier,X,y,anomaly_2021,covid_year_dummy,Covid_Year_Dummy,weekday_or_weekend,Nov_Dec_2018,Jul_Dec_2019,Month of Ds,new_funnel,generic_cost,competitor_cost,generic_cost_split,competitor_cost_split,Weekend,new_confirmed,floor,AOV,ROAS,cap
909,2020-02-05,LATAM,Mexico,-,Brand,L,355.71,127.0,0.0,0.0,2.0,0.0,0.0,0.0,FebruaryFebruary,0,0.0,0.0,0.5,0.5,0,0,0,60.9,20.69,120.8479458128079
910,2020-02-06,LATAM,Mexico,-,Brand,L,298.31,130.0,0.0,0.0,2.0,0.0,0.0,0.0,FebruaryFebruary,0,0.0,0.0,0.5,0.5,0,0,0,60.9,20.69,101.347026272578
911,2020-02-07,LATAM,Mexico,-,Brand,L,167.12,108.0,0.0,0.0,2.0,0.0,0.0,0.0,FebruaryFebruary,0,0.0,0.0,0.5,0.5,0,0,0,60.9,20.69,56.77689326765189
912,2020-02-08,LATAM,Mexico,-,Brand,L,4.74,3.0,0.0,0.0,2.0,2.0,0.0,0.0,FebruaryFebruary,0,0.0,0.0,0.5,0.5,1,0,0,60.9,20.69,1.610354679802956
913,2020-02-09,LATAM,Mexico,-,Brand,L,2.75,4.0,0.0,0.0,1.0,1.0,0.0,0.0,February,0,0.0,0.0,0.5,0.5,1,0,0,60.9,20.69,0.9342775041050904
914,2020-02-10,LATAM,Mexico,-,Brand,L,274.58,131.0,0.0,0.0,2.0,0.0,0.0,0.0,FebruaryFebruary,0,0.0,0.0,0.5,0.5,0,0,0,60.9,20.69,93.28506075533662
915,2020-02-11,LATAM,Mexico,-,Brand,L,286.11999999999995,96.0,0.0,0.0,2.0,0.0,0.0,0.0,FebruaryFebruary,0,0.0,0.0,0.5,0.5,0,0,0,60.9,20.69,97.20562889983579
916,2020-02-12,LATAM,Mexico,-,Brand,L,279.97,107.0,0.0,0.0,2.0,0.0,0.0,0.0,FebruaryFebruary,0,0.0,0.0,0.5,0.5,0,0,0,60.9,20.69,95.11624466338262
917,2020-02-13,LATAM,Mexico,-,Brand,L,257.17,117.0,0.0,0.0,2.0,0.0,0.0,0.0,FebruaryFebruary,0,0.0,0.0,0.5,0.5,0,0,0,60.9,20.69,87.37023481116586
918,2020-02-14,LATAM,Mexico,-,Brand,L,182.20999999999995,78.0,0.0,0.0,2.0,0.0,0.0,0.0,FebruaryFebruary,0,0.0,0.0,0.5,0.5,0,0,0,60.9,20.69,61.90352873563217
