,market,account_type,funnel,periods_for_acc_cal,changepoint_prior_scale,seasonality_prior_scale,holidays_prior_scale,seasonality_mode,input_mode,weekday_or_weekend,include_holiday,covid_year_exclude,covid_year_dummy,anomaly_2021,generic_cost_split,competitor_cost_split,new_confirmed,dec_2022,power,growth,MAPE,period_AE
0,Italy,-,Non_Brand,183,0.05,0.01,0.1,additive,additive,multiplicative,na,False,na,na,additive,additive,na,na,na,linear,43.56,36.75
0,Italy,-,Non_Brand,183,0.05,0.01,0.1,additive,additive,multiplicative,na,False,na,na,na,multiplicative,na,na,na,logistic,293.22,213.7
0,Italy,-,Non_Brand,183,0.05,0.01,0.1,additive,additive,multiplicative,na,False,na,na,additive,multiplicative,na,na,na,linear,40.22,34.32
0,Italy,-,Non_Brand,183,0.05,0.01,0.1,additive,additive,multiplicative,na,False,na,na,additive,na,na,na,na,logistic,333.97,203.26
0,Italy,-,Non_Brand,183,0.05,0.01,0.1,additive,additive,multiplicative,na,False,na,na,additive,additive,na,na,na,logistic,330.45,200.41000000000003
0,Italy,-,Non_Brand,183,0.05,0.01,0.1,additive,additive,multiplicative,na,False,na,na,multiplicative,na,na,na,na,linear,31.13,23.74
0,Italy,-,Non_Brand,183,0.05,0.01,0.1,additive,additive,multiplicative,na,False,na,na,additive,multiplicative,na,na,na,logistic,330.43,211.05999999999997
0,Italy,-,Non_Brand,183,0.05,0.01,0.1,additive,additive,multiplicative,na,False,na,na,multiplicative,additive,na,na,na,linear,42.34,37.19
0,Italy,-,Non_Brand,183,0.05,0.01,0.1,additive,additive,multiplicative,na,False,na,na,multiplicative,na,na,na,na,logistic,293.24,213.71000000000004
0,Italy,-,Non_Brand,183,0.05,0.01,0.1,additive,additive,multiplicative,na,False,na,na,multiplicative,multiplicative,na,na,na,linear,31.76,25.009999999999998
0,Italy,-,Non_Brand,183,0.05,0.01,0.1,additive,additive,multiplicative,na,False,na,na,multiplicative,additive,na,na,na,logistic,330.43,211.05999999999997
0,Italy,-,Non_Brand,183,0.05,0.01,0.1,additive,additive,multiplicative,default,False,na,na,na,na,na,na,na,linear,28.9,22.12
0,Italy,-,Non_Brand,183,0.05,0.01,0.1,additive,additive,multiplicative,na,False,na,na,multiplicative,multiplicative,na,na,na,logistic,286.64,213.28
